s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9915785789489746,-0.8461406230926514,-0.9915437698364258,-0.9214285612106324,-0.9897795915603638,-0.7609335780143738,-0.860529363155365,-0.7183805704116821,-0.7294897437095642,-0.8489429950714111,-0.880158007144928,-0.6801361441612244,-0.6349397897720337,-0.6727999448776245,-0.9027669429779052,-0.7188054323196411,-0.7240849733352661,-0.5839254260063171,-0.9980051517486572,-0.4895833432674408,-0.9951037168502808,-0.5456381440162659,-0.9093742370605468,-0.9561052322387696,-0.9557142853736876,-0.807172417640686,-0.7943253517150879,-0.7492986917495728,-0.8249098658561707,-0.998843789100647,-0.9856178760528564,-0.9616588950157166,-0.9536752700805664,-0.8678325414657593,-0.8477394580841064,-0.7753757834434509,-0.8593827486038208,-0.7269191741943359,-0.882313072681427,-0.8090596795082092,-0.8415274620056152,-0.9940475821495056,,,,,,,,,,,,,,,,,,,,,,-0.9915785789489746,-0.9915437698364258,-0.9897795915603638,-0.7609335780143738,-0.860529363155365,-0.7183805704116821,-0.7294897437095642,-0.8489429950714111,-0.880158007144928,-0.6801361441612244,-0.6349397897720337,-0.6727999448776245,-0.9027669429779052,-0.7188054323196411,-0.7240849733352661,-0.5839254260063171,-0.9980051517486572,-0.9951037168502808,-0.5456381440162659,-0.9093742370605468,-0.807172417640686,-0.7943253517150879,-0.7492986917495728,-0.8249098658561707,-0.998843789100647,-0.9856178760528564,-0.9616588950157166,-0.8477394580841064,-0.7753757834434509,-0.8593827486038208,-0.7269191741943359,-0.882313072681427,-0.8090596795082092,-0.8415274620056152,-0.9940475821495056,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9925804138183594,,-0.9878559112548828,-0.9285714626312256,-0.9797753095626832,-0.7849265336990356,-0.8616820573806763,-0.6550543308258057,-0.7313677072525024,-0.8609241247177124,-0.8891284465789795,-0.7039136290550232,-0.6275278329849243,-0.6888402700424194,-0.911401391029358,-0.6851950883865356,-0.7302776575088501,-0.5662810802459717,-0.9979169368743896,-0.520399272441864,-0.9946381449699402,-0.6048482060432434,-0.89777010679245,-0.9634580612182616,-0.9717856645584106,-0.8048965930938721,-0.7682270407676697,-0.824990451335907,-0.8354347944259644,-0.998071551322937,-0.9786068201065063,-0.9329885840415956,-0.9524628520011902,-0.8592744469642639,-0.8453799486160278,-0.7904202938079834,-0.8957407474517822,-0.715560793876648,-0.8782793879508972,-0.818366289138794,-0.8264999389648438,-0.9980603456497192,-0.9014026522636414,,,,,,,,,,,,,,,,,,,,,-0.9925804138183594,-0.9878559112548828,-0.9797753095626832,-0.7849265336990356,-0.8616820573806763,-0.6550543308258057,-0.7313677072525024,-0.8609241247177124,-0.8891284465789795,-0.7039136290550232,-0.6275278329849243,-0.6888402700424194,-0.911401391029358,-0.6851950883865356,-0.7302776575088501,-0.5662810802459717,-0.9979169368743896,-0.9946381449699402,-0.6048482060432434,-0.89777010679245,-0.8048965930938721,-0.7682270407676697,-0.824990451335907,-0.8354347944259644,-0.998071551322937,-0.9786068201065063,-0.9329885840415956,-0.8453799486160278,-0.7904202938079834,-0.8957407474517822,-0.715560793876648,-0.8782793879508972,-0.818366289138794,-0.8264999389648438,-0.9980603456497192,-0.9014026522636414
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.991235375404358,-0.8852564096450806,-0.9949926137924194,-0.8500000238418579,-0.990327537059784,-0.7639626264572144,-0.86055588722229,-0.7102558016777039,-0.7142193913459778,-0.854845404624939,-0.8908645510673523,-0.6775543689727783,-0.6255571842193604,-0.6863549947738647,-0.9067801237106324,-0.5816877484321594,-0.6930639743804932,-0.6044976711273193,-0.9972686767578124,-0.4236111044883728,-0.9956923127174376,-0.6121771335601807,-0.8745231628417969,-0.945075750350952,-0.9571428298950196,-0.8056551814079285,-0.7632893323898315,-0.7988362908363342,-0.8318233489990234,-0.9959306716918944,-0.9870019555091858,-0.9683316349983216,-0.9285788536071776,-0.8403851985931396,-0.8466583490371704,-0.7832666635513306,-0.8724383115768433,-0.7081155776977539,-0.87127685546875,-0.8244911432266235,-0.8387868404388428,,-0.9090387225151062,,,,,,,,,,,,,,,,,,,,,-0.991235375404358,-0.9949926137924194,-0.990327537059784,-0.7639626264572144,-0.86055588722229,-0.7102558016777039,-0.7142193913459778,-0.854845404624939,-0.8908645510673523,-0.6775543689727783,-0.6255571842193604,-0.6863549947738647,-0.9067801237106324,-0.5816877484321594,-0.6930639743804932,-0.6044976711273193,-0.9972686767578124,-0.9956923127174376,-0.6121771335601807,-0.8745231628417969,-0.8056551814079285,-0.7632893323898315,-0.7988362908363342,-0.8318233489990234,-0.9959306716918944,-0.9870019555091858,-0.9683316349983216,-0.8466583490371704,-0.7832666635513306,-0.8724383115768433,-0.7081155776977539,-0.87127685546875,-0.8244911432266235,-0.8387868404388428,,-0.9090387225151062
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9943230152130128,-0.9004918932914734,,-0.8642857074737549,-0.9834553599357604,-0.7768234014511108,-0.8701918125152588,-0.7474608421325684,-0.708780825138092,-0.8490840196609497,-0.8902020454406738,-0.699537992477417,-0.5778674483299255,-0.6824323534965515,-0.9056376218795776,-0.663646936416626,-0.7261178493499756,-0.6092795729637146,-0.9971447587013244,-0.7960069179534912,-0.9970033168792723,-0.5944870710372925,-0.9152428507804872,-0.9703654050827026,-0.9557142853736876,-0.8035516738891602,-0.7981901168823242,-0.8538261651992798,-0.8051268458366394,-0.9946593046188354,-0.9878531694412231,-0.9623244404792786,-0.94029301404953,-0.8849879503250122,-0.8590360879898071,-0.7916744947433472,-0.8880246877670288,-0.7124332189559937,-0.862693190574646,-0.8138337135314941,-0.8367245197296143,-0.9963396787643432,-0.8934934735298157,,,,,,,,,,,,,,,,,,,,,-0.9943230152130128,,-0.9834553599357604,-0.7768234014511108,-0.8701918125152588,-0.7474608421325684,-0.708780825138092,-0.8490840196609497,-0.8902020454406738,-0.699537992477417,-0.5778674483299255,-0.6824323534965515,-0.9056376218795776,-0.663646936416626,-0.7261178493499756,-0.6092795729637146,-0.9971447587013244,-0.9970033168792723,-0.5944870710372925,-0.9152428507804872,-0.8035516738891602,-0.7981901168823242,-0.8538261651992798,-0.8051268458366394,-0.9946593046188354,-0.9878531694412231,-0.9623244404792786,-0.8590360879898071,-0.7916744947433472,-0.8880246877670288,-0.7124332189559937,-0.862693190574646,-0.8138337135314941,-0.8367245197296143,-0.9963396787643432,-0.8934934735298157
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9930270910263062,-0.9600471258163452,-0.9929239749908448,-0.9535714387893676,,-0.767857551574707,-0.8615572452545166,-0.7218456864356995,-0.723281741142273,-0.8487957715988159,-0.884024977684021,-0.6955608129501343,-0.6464897394180298,-0.6901073455810547,-0.9100767970085144,-0.6902593374252319,-0.7238534688949585,-0.5698442459106445,-0.997066080570221,-0.70703125,-0.9965859651565552,-0.6218187808990479,-0.9073330163955688,-0.9641265869140624,-0.9626785516738892,-0.8400344848632812,-0.7645178437232971,-0.7700026631355286,-0.8234106302261353,-0.9943161010742188,-0.9859038591384888,-0.9637290239334106,-0.94155353307724,-0.8476276993751526,-0.8487735986709595,-0.7931989431381226,-0.8980246782302856,-0.7132905721664429,-0.8654038906097412,-0.8291853666305542,-0.8541374206542969,-0.9963949918746948,-0.9001011252403259,,,,,,,,,,,,,,,,,,,,,-0.9930270910263062,-0.9929239749908448,,-0.767857551574707,-0.8615572452545166,-0.7218456864356995,-0.723281741142273,-0.8487957715988159,-0.884024977684021,-0.6955608129501343,-0.6464897394180298,-0.6901073455810547,-0.9100767970085144,-0.6902593374252319,-0.7238534688949585,-0.5698442459106445,-0.997066080570221,-0.9965859651565552,-0.6218187808990479,-0.9073330163955688,-0.8400344848632812,-0.7645178437232971,-0.7700026631355286,-0.8234106302261353,-0.9943161010742188,-0.9859038591384888,-0.9637290239334106,-0.8487735986709595,-0.7931989431381226,-0.8980246782302856,-0.7132905721664429,-0.8654038906097412,-0.8291853666305542,-0.8541374206542969,-0.9963949918746948,-0.9001011252403259
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9947829246520996,-0.8639096617698669,-0.9937121868133544,-0.6035714149475098,-0.9796953201293944,-0.7627679705619812,-0.8533483743667603,-0.7180799245834351,-0.6944379210472107,-0.8409648537635803,-0.8840080499649048,-0.6707075834274292,-0.6469341516494751,-0.6709315776824951,-0.8983551263809204,-0.6896221041679382,-0.6937572956085205,-0.6211651563644409,-0.9974665641784668,-0.5477430820465088,-0.9959518313407898,-0.6690778136253357,-0.8777899146080017,-0.9552139043807985,-0.9457143545150756,-0.7484138011932373,-0.7921773791313171,-0.7956705093383789,-0.8203240633010864,-0.9976874589920044,-0.985854148864746,-0.9620766043663024,,-0.8548388481140137,-0.8325122594833374,-0.7690317630767822,-0.8508642911911011,-0.6511087417602539,-0.8764077425003052,-0.7991397380828857,-0.8147382736206055,-0.9950840473175048,-0.9001509547233582,,,,,,,,,,,,,,,,,,,,,-0.9947829246520996,-0.9937121868133544,-0.9796953201293944,-0.7627679705619812,-0.8533483743667603,-0.7180799245834351,-0.6944379210472107,-0.8409648537635803,-0.8840080499649048,-0.6707075834274292,-0.6469341516494751,-0.6709315776824951,-0.8983551263809204,-0.6896221041679382,-0.6937572956085205,-0.6211651563644409,-0.9974665641784668,-0.9959518313407898,-0.6690778136253357,-0.8777899146080017,-0.7484138011932373,-0.7921773791313171,-0.7956705093383789,-0.8203240633010864,-0.9976874589920044,-0.985854148864746,-0.9620766043663024,-0.8325122594833374,-0.7690317630767822,-0.8508642911911011,-0.6511087417602539,-0.8764077425003052,-0.7991397380828857,-0.8147382736206055,-0.9950840473175048,-0.9001509547233582
caltech101_object_classification,-0.9874893426895142,-0.9347262978553772,-0.8834232091903687,-0.9551005363464355,-0.5671838521957397,-0.9992927312850952,-0.9987947940826416,-0.9999812841415404,,-0.967641294002533,,,-0.9364782571792604,,-0.9989911317825316,,-0.9647192358970642,-0.8815954923629761,-0.9939368963241576,-0.9693577885627748,-0.8821649551391602,-0.8451786041259766,-0.955171763896942,-0.7772388458251953,-0.7561973333358765,-0.8304336071014404,-0.958827018737793,-0.7990703582763672,-0.9914700388908386,-0.6548351049423218,-0.9860477447509766,-0.5535714626312256,-0.9893499612808228,-0.7762466669082642,-0.855187177658081,-0.7144888639450073,-0.6927317976951599,-0.8381766080856323,-0.8733475208282471,-0.6933530569076538,-0.6469227075576782,-0.6599348187446594,-0.8865141868591309,-0.6575132608413696,-0.717364490032196,-0.6202125549316406,-0.9954025745391846,-0.4244791865348816,-0.9941190481185912,-0.6884020566940308,-0.8799929618835449,-0.960115909576416,-0.9262499809265136,-0.8157241344451904,-0.7724340558052063,-0.8101932406425476,-0.8141362071037292,-0.993620991706848,-0.9891201257705688,-0.9430606961250304,-0.9443415999412536,-0.8441116213798523,-0.8299195766448975,-0.7695726156234741,-0.8647839426994324,-0.6873538494110107,-0.863233745098114,-0.819635272026062,-0.8180890083312988,-0.9887506365776062,-0.8933496475219727,-0.9874893426895142,-0.9347262978553772,-0.8834232091903687,-0.9551005363464355,-0.9987947940826416,-0.9999812841415404,-0.967641294002533,-0.9364782571792604,-0.9989911317825316,-0.9647192358970642,-0.8815954923629761,-0.9939368963241576,-0.9693577885627748,-0.8821649551391602,-0.8451786041259766,-0.955171763896942,-0.7772388458251953,-0.7561973333358765,-0.8304336071014404,-0.958827018737793,-0.9914700388908386,-0.9860477447509766,-0.9893499612808228,-0.7762466669082642,-0.855187177658081,-0.7144888639450073,-0.6927317976951599,-0.8381766080856323,-0.8733475208282471,-0.6933530569076538,-0.6469227075576782,-0.6599348187446594,-0.8865141868591309,-0.6575132608413696,-0.717364490032196,-0.6202125549316406,-0.9954025745391846,-0.9941190481185912,-0.6884020566940308,-0.8799929618835449,-0.8157241344451904,-0.7724340558052063,-0.8101932406425476,-0.8141362071037292,-0.993620991706848,-0.9891201257705688,-0.9430606961250304,-0.8299195766448975,-0.7695726156234741,-0.8647839426994324,-0.6873538494110107,-0.863233745098114,-0.819635272026062,-0.8180890083312988,-0.9887506365776062,-0.8933496475219727
caltech256_object_classification,-0.9901372790336608,-0.9366502165794371,-0.8736794590950012,-0.9625978469848632,-0.4077529907226562,-0.9999356865882874,-0.999598264694214,-0.999991774559021,,-0.9710559844970704,,,-0.9557084441184998,,-0.998778522014618,,-0.9909515380859376,-0.8846440315246582,-0.994606614112854,-0.9752751588821412,-0.9077686071395874,-0.8617835640907288,-0.9699055552482604,-0.7517772912979126,-0.8727391958236694,-0.8529161214828491,-0.9358248710632324,-0.8190765380859375,-0.9933475255966188,-0.6162877678871155,-0.9847066402435304,-0.4535714387893677,-0.9911555051803588,-0.7573221921920776,-0.8544934988021851,-0.7024666666984558,-0.7140142917633057,-0.847038984298706,-0.885480523109436,-0.7034181356430054,-0.6101185083389282,-0.6692575812339783,-0.9009149670600892,-0.6831504702568054,-0.7139551639556885,-0.5696958303451538,-0.9971209764480592,-0.3897569179534912,-0.9899184703826904,-0.6384904384613037,-0.8832679986953735,-0.9508689641952516,-0.947678565979004,-0.8071379661560059,-0.7958715558052063,-0.8160721063613892,-0.8370116949081421,-0.9987169504165648,-0.9883390069007874,-0.9477343559265136,-0.9488166570663452,-0.8440346717834473,-0.8477880954742432,-0.7844734787940979,-0.8591666221618652,-0.7018916606903076,-0.8892187476158142,-0.8118897676467896,-0.824847936630249,-0.9920966029167176,-0.8958535194396973,-0.9901372790336608,-0.9366502165794371,-0.8736794590950012,-0.9625978469848632,-0.999598264694214,-0.999991774559021,-0.9710559844970704,-0.9557084441184998,-0.998778522014618,-0.9909515380859376,-0.8846440315246582,-0.994606614112854,-0.9752751588821412,-0.9077686071395874,-0.8617835640907288,-0.9699055552482604,-0.7517772912979126,-0.8727391958236694,-0.8529161214828491,-0.9358248710632324,-0.9933475255966188,-0.9847066402435304,-0.9911555051803588,-0.7573221921920776,-0.8544934988021851,-0.7024666666984558,-0.7140142917633057,-0.847038984298706,-0.885480523109436,-0.7034181356430054,-0.6101185083389282,-0.6692575812339783,-0.9009149670600892,-0.6831504702568054,-0.7139551639556885,-0.5696958303451538,-0.9971209764480592,-0.9899184703826904,-0.6384904384613037,-0.8832679986953735,-0.8071379661560059,-0.7958715558052063,-0.8160721063613892,-0.8370116949081421,-0.9987169504165648,-0.9883390069007874,-0.9477343559265136,-0.8477880954742432,-0.7844734787940979,-0.8591666221618652,-0.7018916606903076,-0.8892187476158142,-0.8118897676467896,-0.824847936630249,-0.9920966029167176,-0.8958535194396973
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.989737629890442,-0.9115499258041382,-0.9897569417953492,-0.6178571581840515,-0.9910072088241576,,,,,,,,,,,,,,-0.9966347217559814,-0.717013955116272,-0.9956012964248656,-0.6492077708244324,-0.8682646751403809,-0.9280303716659546,-0.9601786136627196,-0.8192758560180664,-0.7743980884552002,-0.7890444993972778,-0.8208891153335571,-0.9987247586250304,-0.9855616092681884,-0.943834900856018,-0.933304727077484,-0.8693091869354248,-0.8438539505004883,-0.7803180813789368,-0.8973456621170044,-0.7113437652587891,-0.8656619787216187,-0.8282548189163208,-0.8384338617324829,-0.9925613403320312,-0.9016215205192566,,,,,,,,,,,,,,,,,,,,,-0.989737629890442,-0.9897569417953492,-0.9910072088241576,,,,,,,,,,,,,,-0.9966347217559814,-0.9956012964248656,-0.6492077708244324,-0.8682646751403809,-0.8192758560180664,-0.7743980884552002,-0.7890444993972778,-0.8208891153335571,-0.9987247586250304,-0.9855616092681884,-0.943834900856018,-0.8438539505004883,-0.7803180813789368,-0.8973456621170044,-0.7113437652587891,-0.8656619787216187,-0.8282548189163208,-0.8384338617324829,-0.9925613403320312,-0.9016215205192566
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9918218851089478,-0.9003931879997253,-0.995937705039978,-0.6464285850524902,-0.9851994514465332,,,,,,,,,,,,,,-0.9975546598434448,-0.6805555820465088,-0.9974100589752196,-0.6122815608978271,-0.8324506878852844,-0.9721479415893556,-0.9612500071525574,-0.8286206722259521,-0.8118036389350891,-0.738456666469574,-0.827082633972168,-0.9986233711242676,-0.9799140691757202,-0.9217538237571716,-0.9195325374603271,-0.875316858291626,-0.8518887758255005,-0.7779712677001953,-0.8790740966796875,-0.7195538878440857,-0.8693729639053345,-0.8149794340133667,-0.8429296016693115,-0.986900508403778,-0.9044227004051208,,,,,,,,,,,,,,,,,,,,,-0.9918218851089478,-0.995937705039978,-0.9851994514465332,,,,,,,,,,,,,,-0.9975546598434448,-0.9974100589752196,-0.6122815608978271,-0.8324506878852844,-0.8286206722259521,-0.8118036389350891,-0.738456666469574,-0.827082633972168,-0.9986233711242676,-0.9799140691757202,-0.9217538237571716,-0.8518887758255005,-0.7779712677001953,-0.8790740966796875,-0.7195538878440857,-0.8693729639053345,-0.8149794340133667,-0.8429296016693115,-0.986900508403778,-0.9044227004051208
chexpert_consolidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9885968565940856,-0.8773704767227173,-0.9964941143989564,-0.5428571105003357,-0.9903082251548768,,,,,,,,,,,,,,-0.997812032699585,-0.6041666269302368,-0.9968695640563964,-0.7083446383476257,-0.8860530853271484,-0.9641265869140624,-0.9036606550216676,-0.7819310426712036,-0.7923496961593628,-0.8280130624771118,-0.8511114120483398,-0.9948230981826782,-0.9755678176879884,-0.9105806350708008,-0.9231548309326172,-0.8736289739608765,-0.8329145908355713,-0.7678220272064209,-0.8887037038803101,-0.7412984371185303,-0.866420328617096,-0.7889399528503418,-0.8268337249755859,-0.988581657409668,-0.8996726274490356,,,,,,,,,,,,,,,,,,,,,-0.9885968565940856,-0.9964941143989564,-0.9903082251548768,,,,,,,,,,,,,,-0.997812032699585,-0.9968695640563964,-0.7083446383476257,-0.8860530853271484,-0.7819310426712036,-0.7923496961593628,-0.8280130624771118,-0.8511114120483398,-0.9948230981826782,-0.9755678176879884,-0.9105806350708008,-0.8329145908355713,-0.7678220272064209,-0.8887037038803101,-0.7412984371185303,-0.866420328617096,-0.7889399528503418,-0.8268337249755859,-0.988581657409668,-0.8996726274490356
chexpert_edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9930614233016968,-0.8602594137191772,-0.99252450466156,-0.7214285731315613,-0.9905728101730348,,,,,,,,,,,,,,-0.9961246848106384,-0.7161458730697632,-0.9962970614433287,-0.5655357837677002,-0.868055522441864,-0.9527629613876344,-0.9553571939468384,-0.8092758655548096,-0.7769353985786438,-0.7268966436386108,-0.8192862272262573,-0.9992316961288452,-0.9885348081588744,-0.9482488632202148,-0.939788579940796,-0.8747080564498901,-0.8447785973548889,-0.7785316109657288,-0.8914197683334351,-0.7200981378555298,-0.8690825700759888,-0.8259804248809814,-0.8443498611450195,-0.9953272342681884,-0.8890447616577148,,,,,,,,,,,,,,,,,,,,,-0.9930614233016968,-0.99252450466156,-0.9905728101730348,,,,,,,,,,,,,,-0.9961246848106384,-0.9962970614433287,-0.5655357837677002,-0.868055522441864,-0.8092758655548096,-0.7769353985786438,-0.7268966436386108,-0.8192862272262573,-0.9992316961288452,-0.9885348081588744,-0.9482488632202148,-0.8447785973548889,-0.7785316109657288,-0.8914197683334351,-0.7200981378555298,-0.8690825700759888,-0.8259804248809814,-0.8443498611450195,-0.9953272342681884,-0.8890447616577148
chexpert_enlarged_cardiomediastinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.993127167224884,-0.9414073824882508,-0.9949712157249452,-0.8321428298950195,-0.9894843101501464,,,,,,,,,,,,,,-0.997735857963562,-0.7009549140930176,-0.9956120252609252,-0.6330034732818604,-0.8860991597175598,-0.9652405977249146,-0.954285740852356,-0.8221379518508911,-0.800828754901886,-0.804539680480957,-0.7942163348197937,-0.9978454113006592,-0.9808578491210938,-0.9509941339492798,-0.9552332758903505,-0.890999436378479,-0.8507380485534668,-0.7730135917663574,-0.8586419820785522,-0.7294807434082031,-0.8702442646026611,-0.8162767887115479,-0.8464419841766357,-0.9881881475448608,-0.9066227078437804,,,,,,,,,,,,,,,,,,,,,-0.993127167224884,-0.9949712157249452,-0.9894843101501464,,,,,,,,,,,,,,-0.997735857963562,-0.9956120252609252,-0.6330034732818604,-0.8860991597175598,-0.8221379518508911,-0.800828754901886,-0.804539680480957,-0.7942163348197937,-0.9978454113006592,-0.9808578491210938,-0.9509941339492798,-0.8507380485534668,-0.7730135917663574,-0.8586419820785522,-0.7294807434082031,-0.8702442646026611,-0.8162767887115479,-0.8464419841766357,-0.9881881475448608,-0.9066227078437804
chexpert_fracture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9896432161331176,-0.901292324066162,-0.9848422408103944,-0.8928571343421936,-0.9855856895446776,,,,,,,,,,,,,,-0.994904398918152,-0.7821180820465088,-0.9958153963088988,-0.6639684438705444,-0.892106831073761,-0.9478609561920166,-0.949821412563324,-0.8029999732971191,-0.8136211633682251,-0.8066936731338501,-0.8292374014854431,-0.9961607456207277,-0.9884966015815736,-0.9454626441001892,-0.9459397196769714,-0.8909690976142883,-0.8600857257843018,-0.797576904296875,-0.8734568357467651,-0.7067431211471558,-0.8764561414718628,-0.8144803047180176,-0.8285133838653564,-0.9942650198936462,-0.8943780064582825,,,,,,,,,,,,,,,,,,,,,-0.9896432161331176,-0.9848422408103944,-0.9855856895446776,,,,,,,,,,,,,,-0.994904398918152,-0.9958153963088988,-0.6639684438705444,-0.892106831073761,-0.8029999732971191,-0.8136211633682251,-0.8066936731338501,-0.8292374014854431,-0.9961607456207277,-0.9884966015815736,-0.9454626441001892,-0.8600857257843018,-0.797576904296875,-0.8734568357467651,-0.7067431211471558,-0.8764561414718628,-0.8144803047180176,-0.8285133838653564,-0.9942650198936462,-0.8943780064582825
chexpert_lung_lesion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9905027747154236,-0.9478440284729004,-0.982541799545288,-0.9321428537368774,-0.9811892509460448,,,,,,,,,,,,,,-0.9974117279052734,-0.7721354365348816,-0.993118405342102,-0.6109400987625122,-0.8877754211425781,-0.9544340372085572,-0.962142825126648,-0.7885516881942749,-0.7508740425109863,-0.8051123023033142,-0.8372775912284851,-0.998833954334259,-0.9898756146430968,-0.9442655444145204,-0.9470338821411132,-0.8522673845291138,-0.8565771579742432,-0.7877107858657837,-0.8771296739578247,-0.7343425750732422,-0.8823776245117188,-0.8304908275604248,-0.8542033433914185,-0.9990432262420654,-0.9087507128715516,,,,,,,,,,,,,,,,,,,,,-0.9905027747154236,-0.982541799545288,-0.9811892509460448,,,,,,,,,,,,,,-0.9974117279052734,-0.993118405342102,-0.6109400987625122,-0.8877754211425781,-0.7885516881942749,-0.7508740425109863,-0.8051123023033142,-0.8372775912284851,-0.998833954334259,-0.9898756146430968,-0.9442655444145204,-0.8565771579742432,-0.7877107858657837,-0.8771296739578247,-0.7343425750732422,-0.8823776245117188,-0.8304908275604248,-0.8542033433914185,-0.9990432262420654,-0.9087507128715516
