s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9949692487716676,-0.9519488215446472,-0.995384931564331,-0.8500000238418579,-0.9914738535881042,-0.7826544046401978,-0.8659811019897461,-0.757521390914917,-0.7411888837814331,-0.8636437654495239,-0.8906059265136719,-0.6901024580001831,-0.6382309198379517,-0.6968806982040405,-0.9164873957633972,-0.6690381169319153,-0.7306773066520691,-0.6321276426315308,-0.9985270500183104,-0.6909722089767456,-0.9953498840332032,-0.6798637509346008,-0.9044016003608704,-0.9618984460830688,-0.9878571033477784,-0.8157930374145508,-0.8032037615776062,-0.7966665625572205,-0.8702608942985535,-0.9994930028915404,-0.9976482391357422,-0.9771268963813782,-0.964712381362915,-0.8916717767715454,-0.8784037232398987,-0.8083881139755249,-0.9290123581886292,-0.745967447757721,-0.8930668830871582,-0.8337159156799316,-0.8659204244613647,-0.9983330965042114,,,,,,,,,,,,,,,,,,,,,,-0.9949692487716676,-0.995384931564331,-0.9914738535881042,-0.7826544046401978,-0.8659811019897461,-0.757521390914917,-0.7411888837814331,-0.8636437654495239,-0.8906059265136719,-0.6901024580001831,-0.6382309198379517,-0.6968806982040405,-0.9164873957633972,-0.6690381169319153,-0.7306773066520691,-0.6321276426315308,-0.9985270500183104,-0.9953498840332032,-0.6798637509346008,-0.9044016003608704,-0.8157930374145508,-0.8032037615776062,-0.7966665625572205,-0.8702608942985535,-0.9994930028915404,-0.9976482391357422,-0.9771268963813782,-0.8784037232398987,-0.8083881139755249,-0.9290123581886292,-0.745967447757721,-0.8930668830871582,-0.8337159156799316,-0.8659204244613647,-0.9983330965042114,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9940738677978516,,-0.9965832233428956,-0.9678571224212646,-0.9876890182495116,-0.7655633091926575,-0.86338210105896,-0.7607728242874146,-0.7416643500328064,-0.8605504631996155,-0.8883746862411499,-0.7055689096450806,-0.6539973020553589,-0.6908435225486755,-0.9072511196136476,-0.7192764282226562,-0.7418206930160522,-0.6690163612365723,-0.9976476430892944,-0.8415798544883728,-0.9953445196151732,-0.6768824458122253,-0.9078718423843384,-0.969251275062561,-0.975357174873352,-0.811275839805603,-0.7819234132766724,-0.8234550356864929,-0.8544403314590454,-0.9996646046638488,-0.995228350162506,-0.9558832049369812,-0.963531732559204,-0.8817869424819946,-0.8813635110855103,-0.81280916929245,-0.910987675189972,-0.7582018375396729,-0.9162687063217164,-0.833283543586731,-0.8488858938217163,-0.9973200559616088,-0.9284295439720154,,,,,,,,,,,,,,,,,,,,,-0.9940738677978516,-0.9965832233428956,-0.9876890182495116,-0.7655633091926575,-0.86338210105896,-0.7607728242874146,-0.7416643500328064,-0.8605504631996155,-0.8883746862411499,-0.7055689096450806,-0.6539973020553589,-0.6908435225486755,-0.9072511196136476,-0.7192764282226562,-0.7418206930160522,-0.6690163612365723,-0.9976476430892944,-0.9953445196151732,-0.6768824458122253,-0.9078718423843384,-0.811275839805603,-0.7819234132766724,-0.8234550356864929,-0.8544403314590454,-0.9996646046638488,-0.995228350162506,-0.9558832049369812,-0.8813635110855103,-0.81280916929245,-0.910987675189972,-0.7582018375396729,-0.9162687063217164,-0.833283543586731,-0.8488858938217163,-0.9973200559616088,-0.9284295439720154
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9922891855239868,-0.502714991569519,-0.9978386759757996,-0.3107143044471741,-0.9882511496543884,-0.7754473090171814,-0.8507459163665771,-0.5735974311828613,-0.7029203176498413,-0.8585102558135986,-0.8951516151428223,-0.7044162750244141,-0.5804141759872437,-0.695709764957428,-0.9029584527015686,-0.6158743500709534,-0.7216109037399292,-0.4638653099536896,-0.4999999701976776,-0.6462673544883728,-0.9948147535324096,-0.5359489321708679,-0.9096154570579528,-0.9694741368293762,-0.9749999642372132,-0.8135517239570618,-0.7789754271507263,-0.7941102981567383,-0.8111728429794312,-0.9957610368728638,-0.986495077610016,-0.9733967781066896,-0.9312250018119812,-0.8821896314620972,-0.8670796155929565,-0.8194223642349243,-0.9072067737579346,-0.7500766515731812,-0.8945189714431763,-0.8195180892944336,-0.8475900292396545,,-0.9211296439170836,,,,,,,,,,,,,,,,,,,,,-0.9922891855239868,-0.9978386759757996,-0.9882511496543884,-0.7754473090171814,-0.8507459163665771,-0.5735974311828613,-0.7029203176498413,-0.8585102558135986,-0.8951516151428223,-0.7044162750244141,-0.5804141759872437,-0.695709764957428,-0.9029584527015686,-0.6158743500709534,-0.7216109037399292,-0.4638653099536896,-0.4999999701976776,-0.9948147535324096,-0.5359489321708679,-0.9096154570579528,-0.8135517239570618,-0.7789754271507263,-0.7941102981567383,-0.8111728429794312,-0.9957610368728638,-0.986495077610016,-0.9733967781066896,-0.8670796155929565,-0.8194223642349243,-0.9072067737579346,-0.7500766515731812,-0.8945189714431763,-0.8195180892944336,-0.8475900292396545,,-0.9211296439170836
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9908620119094848,-0.829328715801239,,-0.6107142567634583,-0.9802281260490416,-0.7879471778869629,-0.8430105447769165,-0.7383536100387573,-0.7171036005020142,-0.8523057699203491,-0.8860347270965576,-0.7050836682319641,-0.5537631511688232,-0.6832826137542725,-0.90199214220047,-0.6614362001419067,-0.6976253390312195,-0.5595329999923706,-0.995798110961914,-0.7582466006278992,-0.9948629140853882,-0.5432063341140747,-0.8682134747505188,-0.9721479415893556,-0.970357060432434,-0.795862078666687,-0.7797183394432068,-0.7674099802970886,-0.8320309519767761,-0.9912431240081788,-0.9834480285644532,-0.9738890528678894,-0.9290938377380372,-0.8365806341171265,-0.8514127135276794,-0.8049901723861694,-0.872901201248169,-0.7269659042358398,-0.9136145114898682,-0.8012301921844482,-0.8355052471160889,-0.996367335319519,-0.9027971625328064,,,,,,,,,,,,,,,,,,,,,-0.9908620119094848,,-0.9802281260490416,-0.7879471778869629,-0.8430105447769165,-0.7383536100387573,-0.7171036005020142,-0.8523057699203491,-0.8860347270965576,-0.7050836682319641,-0.5537631511688232,-0.6832826137542725,-0.90199214220047,-0.6614362001419067,-0.6976253390312195,-0.5595329999923706,-0.995798110961914,-0.9948629140853882,-0.5432063341140747,-0.8682134747505188,-0.795862078666687,-0.7797183394432068,-0.7674099802970886,-0.8320309519767761,-0.9912431240081788,-0.9834480285644532,-0.9738890528678894,-0.8514127135276794,-0.8049901723861694,-0.872901201248169,-0.7269659042358398,-0.9136145114898682,-0.8012301921844482,-0.8355052471160889,-0.996367335319519,-0.9027971625328064
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9940738677978516,-0.976291835308075,-0.9965832233428956,-0.9678571224212646,,-0.7655633091926575,-0.86338210105896,-0.7607728242874146,-0.7416643500328064,-0.8605504631996155,-0.8883746862411499,-0.7055689096450806,-0.6539973020553589,-0.6908435225486755,-0.9072511196136476,-0.7192764282226562,-0.7418206930160522,-0.6690163612365723,-0.9976476430892944,-0.8415798544883728,-0.9953445196151732,-0.6768824458122253,-0.9078718423843384,-0.969251275062561,-0.975357174873352,-0.811275839805603,-0.7819234132766724,-0.8234550356864929,-0.8544403314590454,-0.9996646046638488,-0.995228350162506,-0.9558832049369812,-0.963531732559204,-0.8817869424819946,-0.8813635110855103,-0.81280916929245,-0.910987675189972,-0.7582018375396729,-0.9162687063217164,-0.833283543586731,-0.8488858938217163,-0.9973200559616088,-0.9284295439720154,,,,,,,,,,,,,,,,,,,,,-0.9940738677978516,-0.9965832233428956,,-0.7655633091926575,-0.86338210105896,-0.7607728242874146,-0.7416643500328064,-0.8605504631996155,-0.8883746862411499,-0.7055689096450806,-0.6539973020553589,-0.6908435225486755,-0.9072511196136476,-0.7192764282226562,-0.7418206930160522,-0.6690163612365723,-0.9976476430892944,-0.9953445196151732,-0.6768824458122253,-0.9078718423843384,-0.811275839805603,-0.7819234132766724,-0.8234550356864929,-0.8544403314590454,-0.9996646046638488,-0.995228350162506,-0.9558832049369812,-0.8813635110855103,-0.81280916929245,-0.910987675189972,-0.7582018375396729,-0.9162687063217164,-0.833283543586731,-0.8488858938217163,-0.9973200559616088,-0.9284295439720154
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9950965642929076,-0.9634047746658324,-0.9977316856384276,-0.9714285135269164,-0.9923685789108276,-0.7823913097381592,-0.8617655038833618,-0.7000236511230469,-0.7150312066078186,-0.8575007915496826,-0.8806626796722412,-0.6928833723068237,-0.623875617980957,-0.6756616830825806,-0.9061726331710817,-0.6763630509376526,-0.7374258041381836,-0.6475540399551392,-0.998131513595581,-0.8385416865348816,-0.9955532550811768,-0.6910780072212219,-0.8790079355239868,-0.9634580612182616,-0.9632142782211304,-0.8108620643615723,-0.7975627779960632,-0.78676837682724,-0.8519336581230164,-0.9931092262268066,-0.9972257614135742,-0.964918315410614,,-0.8552095890045166,-0.8607088327407837,-0.8094443082809448,-0.9071296453475952,-0.7308615446090698,-0.8950594663619995,-0.8296440839767456,-0.8584280014038086,-0.9974347352981568,-0.9037696719169616,,,,,,,,,,,,,,,,,,,,,-0.9950965642929076,-0.9977316856384276,-0.9923685789108276,-0.7823913097381592,-0.8617655038833618,-0.7000236511230469,-0.7150312066078186,-0.8575007915496826,-0.8806626796722412,-0.6928833723068237,-0.623875617980957,-0.6756616830825806,-0.9061726331710817,-0.6763630509376526,-0.7374258041381836,-0.6475540399551392,-0.998131513595581,-0.9955532550811768,-0.6910780072212219,-0.8790079355239868,-0.8108620643615723,-0.7975627779960632,-0.78676837682724,-0.8519336581230164,-0.9931092262268066,-0.9972257614135742,-0.964918315410614,-0.8607088327407837,-0.8094443082809448,-0.9071296453475952,-0.7308615446090698,-0.8950594663619995,-0.8296440839767456,-0.8584280014038086,-0.9974347352981568,-0.9037696719169616
caltech101_object_classification,-0.9888326525688172,-0.9585442543029784,-0.911551833152771,-0.9668502807617188,-0.8881189823150635,-0.9998713731765748,-0.9996365308761596,-0.9999967217445374,-0.9957436323165894,-0.9685462117195128,,-0.9963236451148988,-0.9834410548210144,-0.9961188435554504,-0.9985401034355164,-0.996659517288208,-0.95841383934021,-0.9162022471427916,-0.9923116564750672,-0.9885798692703248,-0.932235836982727,-0.9614975452423096,-0.9832680225372314,-0.8948004841804504,-0.9347561001777648,-0.8981854319572449,-0.9716602563858032,-0.8777706027030945,-0.9941022992134094,-0.8952159881591797,-0.9957950711250304,-0.8535714149475098,-0.9872233271598816,-0.7808403968811035,-0.875775933265686,-0.7258147597312927,-0.7304574251174927,-0.8609954714775085,-0.8881258368492126,-0.7061306238174438,-0.6776505708694458,-0.6932820081710815,-0.9147644639015198,-0.6170157194137573,-0.7245798110961914,-0.5771497488021851,-0.996963620185852,-0.6861979365348816,-0.9982341527938844,-0.77177894115448,-0.9072794914245604,-0.9569964408874512,-0.9599107503890992,-0.8161206841468811,-0.7975406646728516,-0.7780339121818542,-0.8226418495178223,-0.9995359182357788,-0.9935808181762696,-0.9646705985069276,-0.9427918791770936,-0.8700642585754395,-0.8671377301216125,-0.7991621494293213,-0.9354012608528136,-0.7603766918182373,-0.8896383047103882,-0.8465912342071533,-0.8502285480499268,-0.9957095384597778,-0.9123765230178832,-0.9888326525688172,-0.9585442543029784,-0.911551833152771,-0.9668502807617188,-0.9996365308761596,-0.9999967217445374,-0.9685462117195128,-0.9834410548210144,-0.9985401034355164,-0.95841383934021,-0.9162022471427916,-0.9923116564750672,-0.9885798692703248,-0.932235836982727,-0.9614975452423096,-0.9832680225372314,-0.8948004841804504,-0.9347561001777648,-0.8981854319572449,-0.9716602563858032,-0.9941022992134094,-0.9957950711250304,-0.9872233271598816,-0.7808403968811035,-0.875775933265686,-0.7258147597312927,-0.7304574251174927,-0.8609954714775085,-0.8881258368492126,-0.7061306238174438,-0.6776505708694458,-0.6932820081710815,-0.9147644639015198,-0.6170157194137573,-0.7245798110961914,-0.5771497488021851,-0.996963620185852,-0.9982341527938844,-0.77177894115448,-0.9072794914245604,-0.8161206841468811,-0.7975406646728516,-0.7780339121818542,-0.8226418495178223,-0.9995359182357788,-0.9935808181762696,-0.9646705985069276,-0.8671377301216125,-0.7991621494293213,-0.9354012608528136,-0.7603766918182373,-0.8896383047103882,-0.8465912342071533,-0.8502285480499268,-0.9957095384597778,-0.9123765230178832
caltech256_object_classification,-0.9935213327407836,-0.9591329097747804,-0.8944458961486816,-0.9641948342323304,-0.7747696042060852,-0.9996784925460817,-0.9978764653205872,-1.0,-0.9956610202789308,-0.9641404151916504,-0.9981022477149964,,-0.9678064584732056,-0.9959333539009094,-0.9974536895751952,-0.9967920780181884,-0.982091188430786,-0.8827375769615173,-0.9949230551719666,-0.9840317964553832,-0.9353477954864502,-0.9271082878112792,-0.9819892644882202,-0.8497235774993896,-0.9291237592697144,-0.8878509402275085,-0.9554383754730223,-0.853545606136322,-0.9937502145767212,-0.830748438835144,-0.998280942440033,-0.3214285969734192,-0.9934827089309692,-0.7889872789382935,-0.8638092279434204,-0.7503257989883423,-0.7430298924446106,-0.8571140766143799,-0.8853296041488647,-0.7160943746566772,-0.6226533651351929,-0.696405291557312,-0.8980225324630737,-0.674900233745575,-0.714769721031189,-0.6258848905563354,-0.9977357387542723,-0.503038227558136,-0.9950448274612428,-0.6952400803565979,-0.900805652141571,-0.9661319255828856,-0.9767856597900392,-0.8040689826011658,-0.7993621230125427,-0.7588226199150085,-0.8559670448303223,-0.9951399564743042,-0.9918320178985596,-0.971867859363556,-0.9513139724731444,-0.8755171895027161,-0.8665125370025635,-0.8101664781570435,-0.9017438292503356,-0.7369259595870972,-0.8838217258453369,-0.8233868479728699,-0.8705171346664429,-0.996612012386322,-0.896146297454834,-0.9935213327407836,-0.9591329097747804,-0.8944458961486816,-0.9641948342323304,-0.9978764653205872,-1.0,-0.9641404151916504,-0.9678064584732056,-0.9974536895751952,-0.982091188430786,-0.8827375769615173,-0.9949230551719666,-0.9840317964553832,-0.9353477954864502,-0.9271082878112792,-0.9819892644882202,-0.8497235774993896,-0.9291237592697144,-0.8878509402275085,-0.9554383754730223,-0.9937502145767212,-0.998280942440033,-0.9934827089309692,-0.7889872789382935,-0.8638092279434204,-0.7503257989883423,-0.7430298924446106,-0.8571140766143799,-0.8853296041488647,-0.7160943746566772,-0.6226533651351929,-0.696405291557312,-0.8980225324630737,-0.674900233745575,-0.714769721031189,-0.6258848905563354,-0.9977357387542723,-0.9950448274612428,-0.6952400803565979,-0.900805652141571,-0.8040689826011658,-0.7993621230125427,-0.7588226199150085,-0.8559670448303223,-0.9951399564743042,-0.9918320178985596,-0.971867859363556,-0.8665125370025635,-0.8101664781570435,-0.9017438292503356,-0.7369259595870972,-0.8838217258453369,-0.8233868479728699,-0.8705171346664429,-0.996612012386322,-0.896146297454834
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9932494163513184,-0.7981988787651062,-0.9879807233810424,-0.3678571581840515,-0.9913868308067322,,,,,,,,,,,,,,-0.4999999701976776,-0.7907986044883728,-0.9939852952957152,-0.681675136089325,-0.9089592099189758,-0.9556595087051392,-0.9953571557998656,-0.808344841003418,-0.821603000164032,-0.7486106753349304,-0.8246209025382996,-0.9988564252853394,-0.9934901595115662,-0.9728703498840332,-0.9377381205558776,-0.8636899590492249,-0.8678610324859619,-0.8311055898666382,-0.9057716131210328,-0.7464796304702759,-0.8830069303512573,-0.8252004384994507,-0.8472115993499756,-0.9971031546592712,-0.9111072421073914,,,,,,,,,,,,,,,,,,,,,-0.9932494163513184,-0.9879807233810424,-0.9913868308067322,,,,,,,,,,,,,,-0.4999999701976776,-0.9939852952957152,-0.681675136089325,-0.9089592099189758,-0.808344841003418,-0.821603000164032,-0.7486106753349304,-0.8246209025382996,-0.9988564252853394,-0.9934901595115662,-0.9728703498840332,-0.8678610324859619,-0.8311055898666382,-0.9057716131210328,-0.7464796304702759,-0.8830069303512573,-0.8252004384994507,-0.8472115993499756,-0.9971031546592712,-0.9111072421073914
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9936566948890686,-0.7508039474487305,-0.9939547777175904,-0.5892857313156128,-0.9914339780807496,,,,,,,,,,,,,,-0.9969993829727172,-0.6766493320465088,-0.996955156326294,-0.7355286478996277,-0.896275520324707,-0.9578877091407776,-0.9628571271896362,-0.7991207242012024,-0.7824281454086304,-0.7131624221801758,-0.8286981582641602,-0.9917540550231934,-0.98568594455719,-0.9703405499458312,-0.9628838300704956,-0.8319968581199646,-0.8609372973442078,-0.8097760081291199,-0.9046913385391236,-0.7243266105651855,-0.9020458459854126,-0.8218611478805542,-0.8618732690811157,-0.9953014254570008,-0.8951841592788696,,,,,,,,,,,,,,,,,,,,,-0.9936566948890686,-0.9939547777175904,-0.9914339780807496,,,,,,,,,,,,,,-0.9969993829727172,-0.996955156326294,-0.7355286478996277,-0.896275520324707,-0.7991207242012024,-0.7824281454086304,-0.7131624221801758,-0.8286981582641602,-0.9917540550231934,-0.98568594455719,-0.9703405499458312,-0.8609372973442078,-0.8097760081291199,-0.9046913385391236,-0.7243266105651855,-0.9020458459854126,-0.8218611478805542,-0.8618732690811157,-0.9953014254570008,-0.8951841592788696
chexpert_consolidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9937502145767212,-0.830748438835144,-0.998280942440033,-0.3214285969734192,-0.9934827089309692,,,,,,,,,,,,,,-0.9977357387542723,-0.503038227558136,-0.9950448274612428,-0.6952400803565979,-0.900805652141571,-0.9661319255828856,-0.9767856597900392,-0.8040689826011658,-0.7993621230125427,-0.7588226199150085,-0.8559670448303223,-0.9951399564743042,-0.9918320178985596,-0.971867859363556,-0.9513139724731444,-0.8755171895027161,-0.8665125370025635,-0.8101664781570435,-0.9017438292503356,-0.7369259595870972,-0.8838217258453369,-0.8233868479728699,-0.8705171346664429,-0.996612012386322,-0.896146297454834,,,,,,,,,,,,,,,,,,,,,-0.9937502145767212,-0.998280942440033,-0.9934827089309692,,,,,,,,,,,,,,-0.9977357387542723,-0.9950448274612428,-0.6952400803565979,-0.900805652141571,-0.8040689826011658,-0.7993621230125427,-0.7588226199150085,-0.8559670448303223,-0.9951399564743042,-0.9918320178985596,-0.971867859363556,-0.8665125370025635,-0.8101664781570435,-0.9017438292503356,-0.7369259595870972,-0.8838217258453369,-0.8233868479728699,-0.8705171346664429,-0.996612012386322,-0.896146297454834
chexpert_edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9928635358810424,-0.9661783576011658,-0.9964548349380492,-0.9571428894996644,-0.9900954961776732,,,,,,,,,,,,,,-0.9993135929107666,-0.801649272441864,-0.9936535358428956,-0.716968834400177,-0.9299154281616212,-0.9607843160629272,-0.9807143211364746,-0.8216551542282104,-0.8175832629203796,-0.8344703912734985,-0.8223368525505066,-0.998032569885254,-0.9953864812850952,-0.9709421396255492,-0.9371588230133056,-0.8954278230667114,-0.8731667399406433,-0.8176686763763428,-0.9130247235298156,-0.7493189573287964,-0.8958017826080322,-0.8330005407333374,-0.8650571703910828,-0.998907744884491,-0.9246764183044434,,,,,,,,,,,,,,,,,,,,,-0.9928635358810424,-0.9964548349380492,-0.9900954961776732,,,,,,,,,,,,,,-0.9993135929107666,-0.9936535358428956,-0.716968834400177,-0.9299154281616212,-0.8216551542282104,-0.8175832629203796,-0.8344703912734985,-0.8223368525505066,-0.998032569885254,-0.9953864812850952,-0.9709421396255492,-0.8731667399406433,-0.8176686763763428,-0.9130247235298156,-0.7493189573287964,-0.8958017826080322,-0.8330005407333374,-0.8650571703910828,-0.998907744884491,-0.9246764183044434
chexpert_enlarged_cardiomediastinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9919940233230592,-0.8902300596237183,-0.9935553073883056,-0.9071428179740906,-0.9865483045578004,,,,,,,,,,,,,,-0.9941704273223876,-0.3719618320465088,-0.9943866729736328,-0.6514922380447388,-0.9161686897277832,-0.9623440504074096,-0.9824999570846558,-0.8373104333877563,-0.7719440460205078,-0.8233293890953064,-0.8536534309387207,-0.988545536994934,-0.9758219718933104,-0.9662314653396606,-0.9356698989868164,-0.8342445492744446,-0.8590562343597412,-0.8113871812820435,-0.904598832130432,-0.7209171056747437,-0.8870083093643188,-0.814104437828064,-0.8568897247314453,-0.9964479207992554,-0.8721597790718079,,,,,,,,,,,,,,,,,,,,,-0.9919940233230592,-0.9935553073883056,-0.9865483045578004,,,,,,,,,,,,,,-0.9941704273223876,-0.9943866729736328,-0.6514922380447388,-0.9161686897277832,-0.8373104333877563,-0.7719440460205078,-0.8233293890953064,-0.8536534309387207,-0.988545536994934,-0.9758219718933104,-0.9662314653396606,-0.8590562343597412,-0.8113871812820435,-0.904598832130432,-0.7209171056747437,-0.8870083093643188,-0.814104437828064,-0.8568897247314453,-0.9964479207992554,-0.8721597790718079
chexpert_fracture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9919940233230592,-0.8902300596237183,-0.9935553073883056,-0.9071428179740906,-0.9865483045578004,,,,,,,,,,,,,,-0.9941704273223876,-0.3719618320465088,-0.9943866729736328,-0.6514922380447388,-0.9161686897277832,-0.9623440504074096,-0.9824999570846558,-0.8373104333877563,-0.7719440460205078,-0.8233293890953064,-0.8536534309387207,-0.988545536994934,-0.9758219718933104,-0.9662314653396606,-0.9356698989868164,-0.8342445492744446,-0.8590562343597412,-0.8113871812820435,-0.904598832130432,-0.7209171056747437,-0.8870083093643188,-0.814104437828064,-0.8568897247314453,-0.9964479207992554,-0.8721597790718079,,,,,,,,,,,,,,,,,,,,,-0.9919940233230592,-0.9935553073883056,-0.9865483045578004,,,,,,,,,,,,,,-0.9941704273223876,-0.9943866729736328,-0.6514922380447388,-0.9161686897277832,-0.8373104333877563,-0.7719440460205078,-0.8233293890953064,-0.8536534309387207,-0.988545536994934,-0.9758219718933104,-0.9662314653396606,-0.8590562343597412,-0.8113871812820435,-0.904598832130432,-0.7209171056747437,-0.8870083093643188,-0.814104437828064,-0.8568897247314453,-0.9964479207992554,-0.8721597790718079
chexpert_lung_lesion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.993065357208252,-0.7757450342178345,-0.9952386617660522,-0.5750000476837158,-0.9927968978881836,,,,,,,,,,,,,,-0.9983018636703492,-0.4453125,-0.996371865272522,-0.6943771839141846,-0.915761947631836,-0.9639036655426024,-0.9871428608894348,-0.8178620338439941,-0.7979419231414795,-0.81178218126297,-0.8462605476379395,-0.9933918714523317,-0.9901723861694336,-0.9746013879776,-0.9394375085830688,-0.8556027412414551,-0.864301323890686,-0.8139644861221313,-0.9411728382110596,-0.7225134968757629,-0.8895736932754517,-0.8584368228912354,-0.8521866798400879,-0.9974867701530457,-0.9196702241897584,,,,,,,,,,,,,,,,,,,,,-0.993065357208252,-0.9952386617660522,-0.9927968978881836,,,,,,,,,,,,,,-0.9983018636703492,-0.996371865272522,-0.6943771839141846,-0.915761947631836,-0.8178620338439941,-0.7979419231414795,-0.81178218126297,-0.8462605476379395,-0.9933918714523317,-0.9901723861694336,-0.9746013879776,-0.864301323890686,-0.8139644861221313,-0.9411728382110596,-0.7225134968757629,-0.8895736932754517,-0.8584368228912354,-0.8521866798400879,-0.9974867701530457,-0.9196702241897584
