s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9940601587295532,-0.9723496437072754,-0.9970611929893494,-0.9035714864730836,-0.9920756816864014,-0.7898428440093994,-0.8517444133758545,-0.6887959241867065,-0.7119901180267334,-0.8598642945289612,-0.884158730506897,-0.6940405368804932,-0.6235937476158142,-0.685761570930481,-0.9010711312294006,-0.6239084601402283,-0.7258431911468506,-0.6055001020431519,-0.9983459711074828,-0.7938368320465088,-0.9978488683700562,-0.6808196306228638,-0.9124512672424316,-0.950089156627655,-0.9824999570846558,-0.8144482374191284,-0.7892194986343384,-0.7501678466796875,-0.873591423034668,-0.9993137121200562,-0.9888148307800292,-0.9637513160705566,-0.9445292353630066,-0.8867778778076172,-0.8569129705429077,-0.7972269058227539,-0.9015432596206664,-0.721705973148346,-0.8792959451675415,-0.8130152225494385,-0.8439830541610718,-0.995519995689392,,,,,,,,,,,,,,,,,,,,,,-0.9940601587295532,-0.9970611929893494,-0.9920756816864014,-0.7898428440093994,-0.8517444133758545,-0.6887959241867065,-0.7119901180267334,-0.8598642945289612,-0.884158730506897,-0.6940405368804932,-0.6235937476158142,-0.685761570930481,-0.9010711312294006,-0.6239084601402283,-0.7258431911468506,-0.6055001020431519,-0.9983459711074828,-0.9978488683700562,-0.6808196306228638,-0.9124512672424316,-0.8144482374191284,-0.7892194986343384,-0.7501678466796875,-0.873591423034668,-0.9993137121200562,-0.9888148307800292,-0.9637513160705566,-0.8569129705429077,-0.7972269058227539,-0.9015432596206664,-0.721705973148346,-0.8792959451675415,-0.8130152225494385,-0.8439830541610718,-0.995519995689392,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.99301278591156,,-0.994282841682434,-0.8142857551574707,-0.9873356223106384,-0.7835878133773804,-0.8613713979721069,-0.7403934001922607,-0.726118803024292,-0.8576233983039856,-0.8824573755264282,-0.7086794972419739,-0.623063862323761,-0.6635593175888062,-0.9083908796310424,-0.688730001449585,-0.7285305857658386,-0.6099754571914673,-0.9978359937667848,-0.8372396230697632,-0.9960106611251832,-0.7134996056556702,-0.926654815673828,-0.960115909576416,-0.9735714197158812,-0.7829655408859253,-0.7996534109115601,-0.7971227169036865,-0.8130835294723511,-0.9970381259918212,-0.990424633026123,-0.9592556357383728,-0.9473490118980408,-0.8730655908584595,-0.8534280061721802,-0.8092266321182251,-0.914722204208374,-0.7349085807800293,-0.8857256174087524,-0.8383333683013916,-0.8454405069351196,-0.9972643852233888,-0.9132325053215028,,,,,,,,,,,,,,,,,,,,,-0.99301278591156,-0.994282841682434,-0.9873356223106384,-0.7835878133773804,-0.8613713979721069,-0.7403934001922607,-0.726118803024292,-0.8576233983039856,-0.8824573755264282,-0.7086794972419739,-0.623063862323761,-0.6635593175888062,-0.9083908796310424,-0.688730001449585,-0.7285305857658386,-0.6099754571914673,-0.9978359937667848,-0.9960106611251832,-0.7134996056556702,-0.926654815673828,-0.7829655408859253,-0.7996534109115601,-0.7971227169036865,-0.8130835294723511,-0.9970381259918212,-0.990424633026123,-0.9592556357383728,-0.8534280061721802,-0.8092266321182251,-0.914722204208374,-0.7349085807800293,-0.8857256174087524,-0.8383333683013916,-0.8454405069351196,-0.9972643852233888,-0.9132325053215028
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9916929006576538,-0.9819881319999696,-0.9980955123901368,-0.9142857193946838,-0.9895452260971068,-0.7853010892868042,-0.8580191135406494,-0.7222280502319336,-0.7252796292304993,-0.8553016185760498,-0.8896306753158569,-0.700890302658081,-0.6477990746498108,-0.6849560737609863,-0.911617398262024,-0.6849346160888672,-0.7233622670173645,-0.6121657490730286,-0.998381733894348,-0.8346354365348816,-0.99546217918396,-0.6733739376068115,-0.9233058094978333,-0.9627896547317504,-0.9574999809265136,-0.7945517301559448,-0.7840653657913208,-0.8434351086616516,-0.8181042671203613,-0.9979857206344604,-0.990754246711731,-0.9473153948783876,-0.9487360715866088,-0.8969014883041382,-0.8682181239128113,-0.8078246116638184,-0.9141358733177184,-0.7428990006446838,-0.8913001418113708,-0.8432427644729614,-0.8449186086654663,,-0.9015771746635436,,,,,,,,,,,,,,,,,,,,,-0.9916929006576538,-0.9980955123901368,-0.9895452260971068,-0.7853010892868042,-0.8580191135406494,-0.7222280502319336,-0.7252796292304993,-0.8553016185760498,-0.8896306753158569,-0.700890302658081,-0.6477990746498108,-0.6849560737609863,-0.911617398262024,-0.6849346160888672,-0.7233622670173645,-0.6121657490730286,-0.998381733894348,-0.99546217918396,-0.6733739376068115,-0.9233058094978333,-0.7945517301559448,-0.7840653657913208,-0.8434351086616516,-0.8181042671203613,-0.9979857206344604,-0.990754246711731,-0.9473153948783876,-0.8682181239128113,-0.8078246116638184,-0.9141358733177184,-0.7428990006446838,-0.8913001418113708,-0.8432427644729614,-0.8449186086654663,,-0.9015771746635436
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.993870735168457,-0.9709445238113404,,-0.8964285850524902,-0.98600834608078,-0.7911256551742554,-0.859711766242981,-0.7181882262229919,-0.7453646659851074,-0.8612274527549744,-0.8828063607215881,-0.6959584951400757,-0.6536487936973572,-0.691676676273346,-0.8858034610748291,-0.6694481372833252,-0.7330780029296875,-0.6635957360267639,-0.9970709085464478,-0.799045205116272,-0.9969230890274048,-0.7665594816207886,-0.8906845450401306,-0.9594473838806152,-0.9671428203582764,-0.7742414474487305,-0.7746346592903137,-0.8598790168762207,-0.8305764198303223,-0.998935341835022,-0.992377519607544,-0.9758489727973938,-0.9502569437026978,-0.8685568571090698,-0.855942964553833,-0.7947350740432739,-0.8795371055603027,-0.6949378252029419,-0.8753993511199951,-0.8197161555290222,-0.8306437730789185,-0.9960938692092896,-0.9224756360054016,,,,,,,,,,,,,,,,,,,,,-0.993870735168457,,-0.98600834608078,-0.7911256551742554,-0.859711766242981,-0.7181882262229919,-0.7453646659851074,-0.8612274527549744,-0.8828063607215881,-0.6959584951400757,-0.6536487936973572,-0.691676676273346,-0.8858034610748291,-0.6694481372833252,-0.7330780029296875,-0.6635957360267639,-0.9970709085464478,-0.9969230890274048,-0.7665594816207886,-0.8906845450401306,-0.7742414474487305,-0.7746346592903137,-0.8598790168762207,-0.8305764198303223,-0.998935341835022,-0.992377519607544,-0.9758489727973938,-0.855942964553833,-0.7947350740432739,-0.8795371055603027,-0.6949378252029419,-0.8753993511199951,-0.8197161555290222,-0.8306437730789185,-0.9960938692092896,-0.9224756360054016
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9908944368362428,-0.9525272846221924,-0.9971967339515686,-0.7857142686843872,,-0.7774337530136108,-0.8637207746505737,-0.7562661170959473,-0.7218786478042603,-0.8614732027053833,-0.8876092433929443,-0.6994969844818115,-0.6666805744171143,-0.6844227313995361,-0.9110625982284546,-0.6664173603057861,-0.7299015522003174,-0.6472293734550476,-0.9986653327941896,-0.8763021230697632,-0.996628761291504,-0.6292279362678528,-0.8665647506713867,-0.9540998339653016,-0.9669643640518188,-0.7634827494621277,-0.8074513673782349,-0.8255230784416199,-0.8668517470359802,-0.9985337257385254,-0.988905131816864,-0.9736316800117492,-0.9523557424545288,-0.8695095777511597,-0.8565459251403809,-0.8018624186515808,-0.874382734298706,-0.7417908906936646,-0.8727774620056152,-0.8275445699691772,-0.8450630903244019,-0.994891345500946,-0.9066007733345032,,,,,,,,,,,,,,,,,,,,,-0.9908944368362428,-0.9971967339515686,,-0.7774337530136108,-0.8637207746505737,-0.7562661170959473,-0.7218786478042603,-0.8614732027053833,-0.8876092433929443,-0.6994969844818115,-0.6666805744171143,-0.6844227313995361,-0.9110625982284546,-0.6664173603057861,-0.7299015522003174,-0.6472293734550476,-0.9986653327941896,-0.996628761291504,-0.6292279362678528,-0.8665647506713867,-0.7634827494621277,-0.8074513673782349,-0.8255230784416199,-0.8668517470359802,-0.9985337257385254,-0.988905131816864,-0.9736316800117492,-0.8565459251403809,-0.8018624186515808,-0.874382734298706,-0.7417908906936646,-0.8727774620056152,-0.8275445699691772,-0.8450630903244019,-0.994891345500946,-0.9066007733345032
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9922786951065063,-0.9527750015258788,-0.9935089349746704,-0.2464285790920257,-0.9950227737426758,-0.7781429290771484,-0.8597381114959717,-0.7181222438812256,-0.7124184966087341,-0.8557482957839966,-0.8849591612815857,-0.7036061882972717,-0.6398082375526428,-0.6989783644676208,-0.9066665172576904,-0.6816378235816956,-0.7175036072731018,-0.6397737860679626,-0.99722820520401,-0.8198784589767456,-0.9966073036193848,-0.7517595291137695,-0.8959455490112305,-0.9514260292053224,-0.9572321176528932,-0.816551685333252,-0.770194947719574,-0.8579225540161133,-0.8276104927062988,-0.996102213859558,-0.9906537532806396,-0.960520565509796,,-0.8730467557907104,-0.8574651479721069,-0.8032670021057129,-0.8948765993118286,-0.7442269325256348,-0.8786181807518005,-0.8218460083007812,-0.8443189859390259,-0.9910061359405518,-0.907216489315033,,,,,,,,,,,,,,,,,,,,,-0.9922786951065063,-0.9935089349746704,-0.9950227737426758,-0.7781429290771484,-0.8597381114959717,-0.7181222438812256,-0.7124184966087341,-0.8557482957839966,-0.8849591612815857,-0.7036061882972717,-0.6398082375526428,-0.6989783644676208,-0.9066665172576904,-0.6816378235816956,-0.7175036072731018,-0.6397737860679626,-0.99722820520401,-0.9966073036193848,-0.7517595291137695,-0.8959455490112305,-0.816551685333252,-0.770194947719574,-0.8579225540161133,-0.8276104927062988,-0.996102213859558,-0.9906537532806396,-0.960520565509796,-0.8574651479721069,-0.8032670021057129,-0.8948765993118286,-0.7442269325256348,-0.8786181807518005,-0.8218460083007812,-0.8443189859390259,-0.9910061359405518,-0.907216489315033
caltech101_object_classification,-0.9851975440979004,-0.9522300958633424,-0.9072334170341492,-0.9556961059570312,-0.92613422870636,-0.999421238899231,-0.9997321367263794,-1.0,-0.991480827331543,-0.9790496230125428,,-0.9910739064216614,-0.9683966636657716,-0.9941322207450868,-0.99886953830719,-0.9971076250076294,-0.9980379343032836,-0.9077889919281006,-0.9948886632919312,-0.9731644988059998,-0.9150688648223876,-0.9175034165382384,-0.9750906229019164,-0.8363835215568542,-0.8882794380187988,-0.863609790802002,-0.9676485061645508,-0.8308619856834412,-0.9934647083282472,-0.9709199666976928,-0.9965939521789552,-0.925000011920929,-0.9892616271972656,-0.7736352682113647,-0.8675285577774048,-0.770135760307312,-0.7133427858352661,-0.8613103628158569,-0.8841090202331543,-0.7152103185653687,-0.6636885404586792,-0.6815247535705566,-0.9163225889205932,-0.6830563545227051,-0.7396066188812256,-0.6450023651123047,-0.9975641965866088,-0.8541666865348816,-0.997014045715332,-0.6935334205627441,-0.898592472076416,-0.9703654050827026,-0.9641071557998656,-0.8144828081130981,-0.8209915161132812,-0.8301897048950195,-0.8368389010429382,-0.9995554685592652,-0.9898133277893066,-0.9564465880393982,-0.9536439776420592,-0.8380367755889893,-0.8654757142066956,-0.7789640426635742,-0.886296272277832,-0.6897567510604858,-0.8829423189163208,-0.8298946619033813,-0.8470149040222168,-0.9931434988975524,-0.9231999516487122,-0.9851975440979004,-0.9522300958633424,-0.9072334170341492,-0.9556961059570312,-0.9997321367263794,-1.0,-0.9790496230125428,-0.9683966636657716,-0.99886953830719,-0.9980379343032836,-0.9077889919281006,-0.9948886632919312,-0.9731644988059998,-0.9150688648223876,-0.9175034165382384,-0.9750906229019164,-0.8363835215568542,-0.8882794380187988,-0.863609790802002,-0.9676485061645508,-0.9934647083282472,-0.9965939521789552,-0.9892616271972656,-0.7736352682113647,-0.8675285577774048,-0.770135760307312,-0.7133427858352661,-0.8613103628158569,-0.8841090202331543,-0.7152103185653687,-0.6636885404586792,-0.6815247535705566,-0.9163225889205932,-0.6830563545227051,-0.7396066188812256,-0.6450023651123047,-0.9975641965866088,-0.997014045715332,-0.6935334205627441,-0.898592472076416,-0.8144828081130981,-0.8209915161132812,-0.8301897048950195,-0.8368389010429382,-0.9995554685592652,-0.9898133277893066,-0.9564465880393982,-0.8654757142066956,-0.7789640426635742,-0.886296272277832,-0.6897567510604858,-0.8829423189163208,-0.8298946619033813,-0.8470149040222168,-0.9931434988975524,-0.9231999516487122
caltech256_object_classification,-0.9905595779418944,-0.9464519023895264,-0.9279530644416808,-0.9471001625061036,-0.8726040720939636,-0.9997428059577942,-0.9997321367263794,-0.9999887943267822,-0.9895035624504088,-0.9712163805961608,-0.9986197352409364,,-0.9674053192138672,-0.9933297634124756,-0.998992383480072,-0.9971442222595216,-0.9841035604476928,-0.8891515135765076,-0.995599925518036,-0.9835041761398317,-0.9208817481994628,-0.92920982837677,-0.8353981375694275,-0.8023313283920288,-0.889302134513855,-0.9016352891921996,-0.9720088243484496,-0.7484875917434692,-0.9915521144866944,-0.8459072113037109,-0.9952030181884766,-0.3535714149475097,-0.9959934949874878,-0.7874952554702759,-0.854573130607605,-0.7457116842269897,-0.7248432040214539,-0.8487244844436646,-0.8798294067382812,-0.6982194781303406,-0.6821896433830261,-0.6737996935844421,-0.9109567403793336,-0.6403812170028687,-0.694190502166748,-0.6158556938171387,-0.9975190162658693,-0.8159722089767456,-0.994359850883484,-0.7129175066947937,-0.8993350863456726,-0.9634580612182616,-0.9487500190734864,-0.761344850063324,-0.7980390787124634,-0.7798248529434204,-0.8394861221313477,-0.998289942741394,-0.9866739511489868,-0.957768440246582,-0.9211434125900269,-0.7573596239089966,-0.848302960395813,-0.7206989526748657,-0.8093826770782471,-0.5876230001449585,-0.841072678565979,-0.7911425828933716,-0.8313645124435425,-0.9955750703811646,-0.9039069414138794,-0.9905595779418944,-0.9464519023895264,-0.9279530644416808,-0.9471001625061036,-0.9997321367263794,-0.9999887943267822,-0.9712163805961608,-0.9674053192138672,-0.998992383480072,-0.9841035604476928,-0.8891515135765076,-0.995599925518036,-0.9835041761398317,-0.9208817481994628,-0.92920982837677,-0.8353981375694275,-0.8023313283920288,-0.889302134513855,-0.9016352891921996,-0.9720088243484496,-0.9915521144866944,-0.9952030181884766,-0.9959934949874878,-0.7874952554702759,-0.854573130607605,-0.7457116842269897,-0.7248432040214539,-0.8487244844436646,-0.8798294067382812,-0.6982194781303406,-0.6821896433830261,-0.6737996935844421,-0.9109567403793336,-0.6403812170028687,-0.694190502166748,-0.6158556938171387,-0.9975190162658693,-0.994359850883484,-0.7129175066947937,-0.8993350863456726,-0.761344850063324,-0.7980390787124634,-0.7798248529434204,-0.8394861221313477,-0.998289942741394,-0.9866739511489868,-0.957768440246582,-0.848302960395813,-0.7206989526748657,-0.8093826770782471,-0.5876230001449585,-0.841072678565979,-0.7911425828933716,-0.8313645124435425,-0.9955750703811646,-0.9039069414138794
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9912176132202148,-0.9925025701522828,-0.995912790298462,-0.9107142686843872,-0.9862701892852784,,,,,,,,,,,,,,-0.9981648325920104,-0.8567708730697632,-0.9948468208312988,-0.6679672002792358,-0.905298352241516,-0.965129256248474,-0.9662500023841858,-0.7973448038101196,-0.80927574634552,-0.8411872982978821,-0.8508865237236023,-0.995480179786682,-0.9915560483932496,-0.9559882283210754,-0.9314093589782716,-0.8704743385314941,-0.8556601405143738,-0.7944079041481018,-0.8904321193695068,-0.7312679290771484,-0.8723095655441284,-0.8121867775917053,-0.8328953981399536,-0.996260404586792,-0.9120840430259703,,,,,,,,,,,,,,,,,,,,,-0.9912176132202148,-0.995912790298462,-0.9862701892852784,,,,,,,,,,,,,,-0.9981648325920104,-0.9948468208312988,-0.6679672002792358,-0.905298352241516,-0.7973448038101196,-0.80927574634552,-0.8411872982978821,-0.8508865237236023,-0.995480179786682,-0.9915560483932496,-0.9559882283210754,-0.8556601405143738,-0.7944079041481018,-0.8904321193695068,-0.7312679290771484,-0.8723095655441284,-0.8121867775917053,-0.8328953981399536,-0.996260404586792,-0.9120840430259703
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9928482174873352,-0.9315884113311768,-0.9942044019699096,-0.8285714387893677,-0.987824320793152,,,,,,,,,,,,,,-0.99775493144989,-0.8098958730697632,-0.9967786073684692,-0.6810711026191711,-0.8811861276626587,-0.9483066201210022,-0.9639285802841188,-0.8151724338531494,-0.8090691566467285,-0.7739364504814148,-0.8187093734741211,-0.99955153465271,-0.9939404726028442,-0.9641528129577636,-0.9320043325424194,-0.8851057291030884,-0.8548920154571533,-0.8085894584655762,-0.8851234912872314,-0.7419494390487671,-0.8800219297409058,-0.8291248083114624,-0.8417878746986389,-0.9971036314964294,-0.9216595888137816,,,,,,,,,,,,,,,,,,,,,-0.9928482174873352,-0.9942044019699096,-0.987824320793152,,,,,,,,,,,,,,-0.99775493144989,-0.9967786073684692,-0.6810711026191711,-0.8811861276626587,-0.8151724338531494,-0.8090691566467285,-0.7739364504814148,-0.8187093734741211,-0.99955153465271,-0.9939404726028442,-0.9641528129577636,-0.8548920154571533,-0.8085894584655762,-0.8851234912872314,-0.7419494390487671,-0.8800219297409058,-0.8291248083114624,-0.8417878746986389,-0.9971036314964294,-0.9216595888137816
chexpert_consolidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9930953979492188,-0.997106909751892,-0.9982523918151855,-0.8464285135269165,-0.9873121976852416,,,,,,,,,,,,,,-0.9982935190200806,-0.8706597685813904,-0.9935358762741088,-0.6844445466995239,-0.8889843225479126,-0.9676916599273682,-0.962142825126648,-0.7886207103729248,-0.814308762550354,-0.8045001029968262,-0.8302773237228394,-0.9979273080825806,-0.988980770111084,-0.9629247784614564,-0.9503734111785888,-0.8764800429344177,-0.8549792170524597,-0.808211088180542,-0.9018210172653198,-0.7288411855697632,-0.886379063129425,-0.8267756104469299,-0.8573000431060791,-0.9982790946960448,-0.8955685496330261,,,,,,,,,,,,,,,,,,,,,-0.9930953979492188,-0.9982523918151855,-0.9873121976852416,,,,,,,,,,,,,,-0.9982935190200806,-0.9935358762741088,-0.6844445466995239,-0.8889843225479126,-0.7886207103729248,-0.814308762550354,-0.8045001029968262,-0.8302773237228394,-0.9979273080825806,-0.988980770111084,-0.9629247784614564,-0.8549792170524597,-0.808211088180542,-0.9018210172653198,-0.7288411855697632,-0.886379063129425,-0.8267756104469299,-0.8573000431060791,-0.9982790946960448,-0.8955685496330261
chexpert_edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9938311576843262,-0.9927501678466796,-0.9973821640014648,-0.764285683631897,-0.9938167333602904,,,,,,,,,,,,,,-0.998508095741272,-0.8315972089767456,-0.9954836368560792,-0.7409417629241943,-0.903594136238098,-0.95632803440094,-0.966249942779541,-0.7971724271774292,-0.7978774905204773,-0.7774593234062195,-0.8491700887680054,-0.9973344802856444,-0.9918431043624878,-0.9583757519721984,-0.959462583065033,-0.8693729639053345,-0.834998369216919,-0.8098119497299194,-0.9183950424194336,-0.7121937274932861,-0.8900254964828491,-0.8147440552711487,-0.849682092666626,-0.9942421317100524,-0.9107017517089844,,,,,,,,,,,,,,,,,,,,,-0.9938311576843262,-0.9973821640014648,-0.9938167333602904,,,,,,,,,,,,,,-0.998508095741272,-0.9954836368560792,-0.7409417629241943,-0.903594136238098,-0.7971724271774292,-0.7978774905204773,-0.7774593234062195,-0.8491700887680054,-0.9973344802856444,-0.9918431043624878,-0.9583757519721984,-0.834998369216919,-0.8098119497299194,-0.9183950424194336,-0.7121937274932861,-0.8900254964828491,-0.8147440552711487,-0.849682092666626,-0.9942421317100524,-0.9107017517089844
chexpert_enlarged_cardiomediastinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9938027858734132,-0.9684228897094728,-0.9972715973854064,-0.8571428656578064,-0.9911749362945556,,,,,,,,,,,,,,-0.9972376823425292,-0.8689236044883728,-0.998544454574585,-0.6962665319442749,-0.9033380746841432,-0.4826202988624573,-0.9600000381469728,-0.7919310331344604,-0.7970697283744812,-0.8356931805610657,-0.854794979095459,-0.9990522861480712,-0.9962553977966307,-0.9751552939414978,-0.9498865008354188,-0.902119517326355,-0.8666092753410339,-0.7923206090927124,-0.4766666889190674,-0.739901065826416,-0.8803768754005432,-0.8316527605056763,-0.8416039347648621,-0.9962601661682128,-0.9121575355529784,,,,,,,,,,,,,,,,,,,,,-0.9938027858734132,-0.9972715973854064,-0.9911749362945556,,,,,,,,,,,,,,-0.9972376823425292,-0.998544454574585,-0.6962665319442749,-0.9033380746841432,-0.7919310331344604,-0.7970697283744812,-0.8356931805610657,-0.854794979095459,-0.9990522861480712,-0.9962553977966307,-0.9751552939414978,-0.8666092753410339,-0.7923206090927124,-0.4766666889190674,-0.739901065826416,-0.8803768754005432,-0.8316527605056763,-0.8416039347648621,-0.9962601661682128,-0.9121575355529784
chexpert_fracture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9928444623947144,-0.9355398416519164,-0.995556116104126,-0.8678570985794067,-0.9899463057518004,,,,,,,,,,,,,,-0.9978502988815308,-0.83203125,-0.9962542057037354,-0.7159483432769775,-0.9100443124771118,-0.9465240836143494,-0.9698214530944824,-0.8037930727005005,-0.7913500070571899,-0.8689424395561218,-0.8205742239952087,-0.999586582183838,-0.9909041523933412,-0.9673385620117188,-0.9556177854537964,-0.8766005039215088,-0.8579153418540955,-0.7934015989303589,-0.9059876799583436,-0.7291334867477417,-0.8792152404785156,-0.8147491216659546,-0.8507165908813477,-0.9943485260009766,-0.9107250571250916,,,,,,,,,,,,,,,,,,,,,-0.9928444623947144,-0.995556116104126,-0.9899463057518004,,,,,,,,,,,,,,-0.9978502988815308,-0.9962542057037354,-0.7159483432769775,-0.9100443124771118,-0.8037930727005005,-0.7913500070571899,-0.8689424395561218,-0.8205742239952087,-0.999586582183838,-0.9909041523933412,-0.9673385620117188,-0.8579153418540955,-0.7934015989303589,-0.9059876799583436,-0.7291334867477417,-0.8792152404785156,-0.8147491216659546,-0.8507165908813477,-0.9943485260009766,-0.9107250571250916
chexpert_lung_lesion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.991857886314392,-0.9548913836479188,-0.997243106365204,-0.7821428775787354,-0.9856842756271362,,,,,,,,,,,,,,-0.9978955388069152,-0.7847222089767456,-0.9959652423858644,-0.7244138717651367,-0.8923208117485046,-0.9527629017829896,-0.9616070985794068,-0.5804827213287354,-0.8163511157035828,-0.8696630597114563,-0.8060010671615601,-0.9962211847305298,-0.9953716993331908,-0.9513077139854432,-0.9553853869438172,-0.8596614599227905,-0.8640011548995972,-0.7857934236526489,-0.8810803294181824,-0.7302872538566589,-0.8802155256271362,-0.8268998861312866,-0.8432102203369141,-0.992207169532776,-0.9124475717544556,,,,,,,,,,,,,,,,,,,,,-0.991857886314392,-0.997243106365204,-0.9856842756271362,,,,,,,,,,,,,,-0.9978955388069152,-0.9959652423858644,-0.7244138717651367,-0.8923208117485046,-0.5804827213287354,-0.8163511157035828,-0.8696630597114563,-0.8060010671615601,-0.9962211847305298,-0.9953716993331908,-0.9513077139854432,-0.8640011548995972,-0.7857934236526489,-0.8810803294181824,-0.7302872538566589,-0.8802155256271362,-0.8268998861312866,-0.8432102203369141,-0.992207169532776,-0.9124475717544556
