s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.988840103149414,-0.8598715662956238,-0.9736611247062684,-0.7285714149475098,-0.9734938144683838,-0.7465468645095825,-0.8266987800598145,-0.6621828079223633,-0.5475568175315857,-0.8406105637550354,-0.863155722618103,-0.6752454042434692,-0.6190892457962036,-0.6431141495704651,-0.615135908126831,-0.6246232986450195,-0.5498216152191162,-0.5804591178894043,-0.9947972297668456,-0.6102430820465088,-0.9957886934280396,-0.6237616539001465,-0.8696001172065735,-0.9578876495361328,-0.9441071152687072,-0.8148965835571289,-0.7650653719902039,-0.7901235222816467,-0.7653910517692566,-0.9970712661743164,-0.9788540601730348,-0.9501062631607056,-0.9407202005386353,-0.8443036079406738,-0.8356765508651733,-0.779158890247345,-0.904444456100464,-0.709436297416687,-0.8758914470672607,-0.8139468431472778,-0.8295998573303223,-0.9804989695549012,,,,,,,,,,,,,,,,,,,,,,-0.988840103149414,-0.9736611247062684,-0.9734938144683838,-0.7465468645095825,-0.8266987800598145,-0.6621828079223633,-0.5475568175315857,-0.8406105637550354,-0.863155722618103,-0.6752454042434692,-0.6190892457962036,-0.6431141495704651,-0.615135908126831,-0.6246232986450195,-0.5498216152191162,-0.5804591178894043,-0.9947972297668456,-0.9957886934280396,-0.6237616539001465,-0.8696001172065735,-0.8148965835571289,-0.7650653719902039,-0.7901235222816467,-0.7653910517692566,-0.9970712661743164,-0.9788540601730348,-0.9501062631607056,-0.8356765508651733,-0.779158890247345,-0.904444456100464,-0.709436297416687,-0.8758914470672607,-0.8139468431472778,-0.8295998573303223,-0.9804989695549012,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9912732839584352,,-0.9860477447509766,-0.8678570985794067,-0.983262062072754,-0.7739933729171753,-0.8646353483200073,-0.7078810930252075,-0.7247087955474854,-0.8440877199172974,-0.8781687617301941,-0.676356315612793,-0.6539860963821411,-0.6925966739654541,-0.9099261164665222,-0.6386967897415161,-0.7313186526298523,-0.6017686724662781,-0.9956384897232056,-0.7660590410232544,-0.992246150970459,-0.7179865837097168,-0.886640727519989,-0.9260249137878418,-0.9605357050895692,-0.8103448152542114,-0.7885298132896423,-0.8019278645515442,-0.8323606848716736,-0.995509386062622,-0.9813387989997864,-0.8909706473350525,-0.9520156383514404,-0.854543149471283,-0.861617922782898,-0.7882817983627319,-0.8940123319625854,-0.7406660914421082,-0.8973506689071655,-0.822589635848999,-0.8454415798187256,-0.9980337619781494,-0.8913108706474304,,,,,,,,,,,,,,,,,,,,,-0.9912732839584352,-0.9860477447509766,-0.983262062072754,-0.7739933729171753,-0.8646353483200073,-0.7078810930252075,-0.7247087955474854,-0.8440877199172974,-0.8781687617301941,-0.676356315612793,-0.6539860963821411,-0.6925966739654541,-0.9099261164665222,-0.6386967897415161,-0.7313186526298523,-0.6017686724662781,-0.9956384897232056,-0.992246150970459,-0.7179865837097168,-0.886640727519989,-0.8103448152542114,-0.7885298132896423,-0.8019278645515442,-0.8323606848716736,-0.995509386062622,-0.9813387989997864,-0.8909706473350525,-0.861617922782898,-0.7882817983627319,-0.8940123319625854,-0.7406660914421082,-0.8973506689071655,-0.822589635848999,-0.8454415798187256,-0.9980337619781494,-0.8913108706474304
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.988050103187561,-0.8807324767112732,-0.9799846410751344,-0.7821428775787354,-0.5802943706512451,-0.7606722712516785,-0.8327879905700684,-0.6904066801071167,-0.6723018884658813,-0.8306593894958496,-0.8553619384765625,-0.6611067056655884,-0.6674911975860596,-0.6674318313598633,-0.8678674697875977,-0.6366910934448242,-0.4700499773025512,-0.5457714796066284,-0.9919800758361816,-0.5902777910232544,-0.99318265914917,-0.673987627029419,-0.8349738121032715,-0.8578431606292725,-0.9549999237060548,-0.7764827609062195,-0.796704113483429,-0.8020723462104797,-0.8342623710632324,-0.9928264617919922,-0.9871209859848022,-0.9446730017662048,-0.952107846736908,-0.7663330435752869,-0.8382518291473389,-0.7538268566131592,-0.8354320526123047,-0.6869868636131287,-0.8661782741546631,-0.8147996664047241,-0.8323361873626709,,-0.8978431820869446,,,,,,,,,,,,,,,,,,,,,-0.988050103187561,-0.9799846410751344,-0.5802943706512451,-0.7606722712516785,-0.8327879905700684,-0.6904066801071167,-0.6723018884658813,-0.8306593894958496,-0.8553619384765625,-0.6611067056655884,-0.6674911975860596,-0.6674318313598633,-0.8678674697875977,-0.6366910934448242,-0.4700499773025512,-0.5457714796066284,-0.9919800758361816,-0.99318265914917,-0.673987627029419,-0.8349738121032715,-0.7764827609062195,-0.796704113483429,-0.8020723462104797,-0.8342623710632324,-0.9928264617919922,-0.9871209859848022,-0.9446730017662048,-0.8382518291473389,-0.7538268566131592,-0.8354320526123047,-0.6869868636131287,-0.8661782741546631,-0.8147996664047241,-0.8323361873626709,,-0.8978431820869446
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.991505205631256,-0.590920090675354,,-0.6857142448425293,-0.9790665507316588,-0.455265462398529,-0.8423184156417847,-0.7559126615524292,-0.5065855979919434,-0.8222306370735168,-0.8600273132324219,-0.6785041689872742,-0.646591067314148,-0.6487809419631958,-0.8734990358352661,-0.6508421897888184,-0.7073757648468018,-0.5931403636932373,-0.9942847490310668,-0.6223958730697632,-0.9943064451217652,-0.6139334440231323,-0.8626462817192078,-0.8718805313110352,-0.8573213815689087,-0.7955517768859863,-0.7766150236129761,-0.7346498370170593,-0.7914919853210449,-0.9961158633232116,-0.9848138093948364,-0.9442190527915956,-0.8855692744255066,-0.8150957226753235,-0.7866179943084717,-0.7338065505027771,-0.7712653875350952,-0.6502048969268799,-0.8530123829841614,-0.7646141052246094,-0.7744249105453491,-0.9876154661178588,-0.8977230191230774,,,,,,,,,,,,,,,,,,,,,-0.991505205631256,,-0.9790665507316588,-0.455265462398529,-0.8423184156417847,-0.7559126615524292,-0.5065855979919434,-0.8222306370735168,-0.8600273132324219,-0.6785041689872742,-0.646591067314148,-0.6487809419631958,-0.8734990358352661,-0.6508421897888184,-0.7073757648468018,-0.5931403636932373,-0.9942847490310668,-0.9943064451217652,-0.6139334440231323,-0.8626462817192078,-0.7955517768859863,-0.7766150236129761,-0.7346498370170593,-0.7914919853210449,-0.9961158633232116,-0.9848138093948364,-0.9442190527915956,-0.7866179943084717,-0.7338065505027771,-0.7712653875350952,-0.6502048969268799,-0.8530123829841614,-0.7646141052246094,-0.7744249105453491,-0.9876154661178588,-0.8977230191230774
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9879498481750488,-0.8070633411407471,-0.9765535593032836,-0.6785714030265808,,-0.773878812789917,-0.8534835577011108,-0.7055389285087585,-0.733129620552063,-0.8389803171157837,-0.8743445873260498,-0.6876969337463379,-0.6096807718276978,-0.5208858251571655,-0.8703243732452393,-0.6372672915458679,-0.7166404724121094,-0.5656490325927734,-0.9966824054718018,-0.609375,-0.9884790182113647,-0.6934046745300293,-0.8378090262413025,-0.9246881008148192,-0.9305356740951538,-0.7951034307479858,-0.8370426297187805,-0.7297795414924622,-0.8267524242401123,-0.9980052709579468,-0.9926893711090088,-0.9321808218955994,-0.9469096064567566,-0.783415675163269,-0.8329241275787354,-0.7715500593185425,-0.8637654781341553,-0.6912432909011841,-0.870002269744873,-0.6469919085502625,-0.8206722736358643,-0.9856085777282716,-0.8989688754081726,,,,,,,,,,,,,,,,,,,,,-0.9879498481750488,-0.9765535593032836,,-0.773878812789917,-0.8534835577011108,-0.7055389285087585,-0.733129620552063,-0.8389803171157837,-0.8743445873260498,-0.6876969337463379,-0.6096807718276978,-0.5208858251571655,-0.8703243732452393,-0.6372672915458679,-0.7166404724121094,-0.5656490325927734,-0.9966824054718018,-0.9884790182113647,-0.6934046745300293,-0.8378090262413025,-0.7951034307479858,-0.8370426297187805,-0.7297795414924622,-0.8267524242401123,-0.9980052709579468,-0.9926893711090088,-0.9321808218955994,-0.8329241275787354,-0.7715500593185425,-0.8637654781341553,-0.6912432909011841,-0.870002269744873,-0.6469919085502625,-0.8206722736358643,-0.9856085777282716,-0.8989688754081726
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9887032508850098,-0.7816381454467773,-0.9775629043579102,-0.4857142865657806,-0.6973176002502441,-0.752745509147644,-0.8359767198562622,-0.7183531522750854,-0.6925262808799744,-0.8275105953216553,-0.8667443990707397,-0.4436657428741455,-0.6604236364364624,-0.6519458293914795,-0.875615656375885,-0.6079232692718506,-0.6970821619033813,-0.4767060577869415,-0.9956003427505492,-0.6749131679534912,-0.9952374696731568,-0.6947833299636841,-0.8494240641593933,-0.9418449401855468,-0.9089285135269164,-0.8072413802146912,-0.7655243873596191,-0.8001109957695007,-0.8151533007621765,-0.9939203262329102,-0.9771263599395752,-0.9328609704971312,,-0.8371910452842712,-0.8288081884384155,-0.734571099281311,-0.8261110782623291,-0.6583570241928101,-0.8396689295768738,-0.7831262350082397,-0.8021601438522339,-0.9852259159088136,-0.8756985664367676,,,,,,,,,,,,,,,,,,,,,-0.9887032508850098,-0.9775629043579102,-0.6973176002502441,-0.752745509147644,-0.8359767198562622,-0.7183531522750854,-0.6925262808799744,-0.8275105953216553,-0.8667443990707397,-0.4436657428741455,-0.6604236364364624,-0.6519458293914795,-0.875615656375885,-0.6079232692718506,-0.6970821619033813,-0.4767060577869415,-0.9956003427505492,-0.9952374696731568,-0.6947833299636841,-0.8494240641593933,-0.8072413802146912,-0.7655243873596191,-0.8001109957695007,-0.8151533007621765,-0.9939203262329102,-0.9771263599395752,-0.9328609704971312,-0.8288081884384155,-0.734571099281311,-0.8261110782623291,-0.6583570241928101,-0.8396689295768738,-0.7831262350082397,-0.8021601438522339,-0.9852259159088136,-0.8756985664367676
caltech101_object_classification,-0.9869632124900818,-0.9311219453811646,-0.8910593390464783,-0.9589155316352844,-0.5082921981811523,-0.9996784925460817,-0.999579131603241,-0.9999721050262452,,-0.966291069984436,,,-0.9452499747276306,,-0.9980838894844056,,-0.9242253303527832,-0.8900817632675171,-0.9953123927116394,-0.9740188121795654,-0.8962986469268799,-0.8615115284919739,-0.9668325185775756,-0.7289488911628723,-0.8414276838302612,-0.7324358224868774,-0.9303539395332336,-0.8086725473403931,-0.9930486679077148,-0.745742678642273,-0.9843785762786864,-0.5964285731315613,-0.9884198904037476,-0.7862704992294312,-0.8611608743667603,-0.714525043964386,-0.7153953313827515,-0.84095299243927,-0.8710230588912964,-0.6811273097991943,-0.6689256429672241,-0.6661764979362488,-0.9085267186164856,-0.6307568550109863,-0.7168331742286682,-0.6155197620391846,-0.9963630437850952,-0.5134549140930176,-0.9941993951797484,-0.6445777416229248,-0.8658461570739746,-0.9471925497055054,-0.9387499690055848,-0.8115862011909485,-0.8027076125144958,-0.8002635836601257,-0.8067306280136108,-0.9943609833717346,-0.9881110787391664,-0.9179920554161072,-0.9400696754455566,-0.8422573208808899,-0.8286944031715393,-0.7629924416542053,-0.8722223043441772,-0.7178113460540771,-0.8522217273712158,-0.8093647956848145,-0.8252041339874268,-0.987829864025116,-0.8989192843437195,-0.9869632124900818,-0.9311219453811646,-0.8910593390464783,-0.9589155316352844,-0.999579131603241,-0.9999721050262452,-0.966291069984436,-0.9452499747276306,-0.9980838894844056,-0.9242253303527832,-0.8900817632675171,-0.9953123927116394,-0.9740188121795654,-0.8962986469268799,-0.8615115284919739,-0.9668325185775756,-0.7289488911628723,-0.8414276838302612,-0.7324358224868774,-0.9303539395332336,-0.9930486679077148,-0.9843785762786864,-0.9884198904037476,-0.7862704992294312,-0.8611608743667603,-0.714525043964386,-0.7153953313827515,-0.84095299243927,-0.8710230588912964,-0.6811273097991943,-0.6689256429672241,-0.6661764979362488,-0.9085267186164856,-0.6307568550109863,-0.7168331742286682,-0.6155197620391846,-0.9963630437850952,-0.9941993951797484,-0.6445777416229248,-0.8658461570739746,-0.8115862011909485,-0.8027076125144958,-0.8002635836601257,-0.8067306280136108,-0.9943609833717346,-0.9881110787391664,-0.9179920554161072,-0.8286944031715393,-0.7629924416542053,-0.8722223043441772,-0.7178113460540771,-0.8522217273712158,-0.8093647956848145,-0.8252041339874268,-0.987829864025116,-0.8989192843437195
caltech256_object_classification,-0.9905021786689758,-0.9348808526992798,-0.8932533264160156,-0.9574527740478516,-0.5756697654724121,-0.9995498657226562,-0.9992730021476746,-0.9999983310699464,,-0.9696739315986632,,,-0.9441155791282654,,-0.9986610412597656,,-0.972983717918396,-0.8703469038009644,-0.995558261871338,-0.9703251123428344,-0.8984999656677246,-0.8710039854049683,-0.9653289914131165,-0.794001579284668,-0.8111058473587036,-0.8773294687271118,-0.96312415599823,-0.7647132873535156,-0.9932699203491212,-0.4469625651836395,-0.988080620765686,-0.5071429014205933,-0.9900236129760742,-0.7716536521911621,-0.8503067493438721,-0.7070119380950928,-0.7218481302261353,-0.8422735929489136,-0.878231406211853,-0.6770251989364624,-0.6344900131225586,-0.6643435955047607,-0.9016395807266236,-0.6824579238891602,-0.7031269073486328,-0.6184751987457275,-0.996509611606598,-0.5177951455116272,-0.9954086542129515,-0.6604263782501221,-0.8668840527534485,-0.9454100131988524,-0.9458928108215332,-0.8062241673469543,-0.7609249353408813,-0.722724437713623,-0.8190716505050659,-0.992466688156128,-0.9920411109924316,-0.95786851644516,-0.9259113073349,-0.8760428428649902,-0.8336390256881714,-0.7722508907318115,-0.8401234149932861,-0.7113001346588135,-0.8593694567680359,-0.786969780921936,-0.7934005260467529,-0.983059585094452,-0.911580502986908,-0.9905021786689758,-0.9348808526992798,-0.8932533264160156,-0.9574527740478516,-0.9992730021476746,-0.9999983310699464,-0.9696739315986632,-0.9441155791282654,-0.9986610412597656,-0.972983717918396,-0.8703469038009644,-0.995558261871338,-0.9703251123428344,-0.8984999656677246,-0.8710039854049683,-0.9653289914131165,-0.794001579284668,-0.8111058473587036,-0.8773294687271118,-0.96312415599823,-0.9932699203491212,-0.988080620765686,-0.9900236129760742,-0.7716536521911621,-0.8503067493438721,-0.7070119380950928,-0.7218481302261353,-0.8422735929489136,-0.878231406211853,-0.6770251989364624,-0.6344900131225586,-0.6643435955047607,-0.9016395807266236,-0.6824579238891602,-0.7031269073486328,-0.6184751987457275,-0.996509611606598,-0.9954086542129515,-0.6604263782501221,-0.8668840527534485,-0.8062241673469543,-0.7609249353408813,-0.722724437713623,-0.8190716505050659,-0.992466688156128,-0.9920411109924316,-0.95786851644516,-0.8336390256881714,-0.7722508907318115,-0.8401234149932861,-0.7113001346588135,-0.8593694567680359,-0.786969780921936,-0.7934005260467529,-0.983059585094452,-0.911580502986908
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9873558282852172,-0.7787545919418335,-0.9741532802581788,-0.625,-0.9744426608085632,,,,,,,,,,,,,,-0.9945659637451172,-0.522569477558136,-0.9896402359008788,-0.7086033821105957,-0.8658239245414734,-0.89371657371521,-0.9142856597900392,-0.8012758493423462,-0.7827320098876953,-0.7392777800559998,-0.8136827945709229,-0.9975255727767944,-0.979917585849762,-0.9554054141044616,-0.9010025858879088,-0.8419526815414429,-0.8263475894927979,-0.7801687717437744,-0.8078395128250122,-0.7019766569137573,-0.8664848804473877,-0.789336085319519,-0.81838458776474,-0.980510115623474,-0.804964542388916,,,,,,,,,,,,,,,,,,,,,-0.9873558282852172,-0.9741532802581788,-0.9744426608085632,,,,,,,,,,,,,,-0.9945659637451172,-0.9896402359008788,-0.7086033821105957,-0.8658239245414734,-0.8012758493423462,-0.7827320098876953,-0.7392777800559998,-0.8136827945709229,-0.9975255727767944,-0.979917585849762,-0.9554054141044616,-0.8263475894927979,-0.7801687717437744,-0.8078395128250122,-0.7019766569137573,-0.8664848804473877,-0.789336085319519,-0.81838458776474,-0.980510115623474,-0.804964542388916
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9906460046768188,-0.6563324928283691,-0.953952431678772,-0.6642856597900391,-0.9729622602462769,,,,,,,,,,,,,,-0.9933719635009766,-0.74609375,-0.9968267679214478,-0.5975728034973145,-0.7333720922470093,-0.9395053386688232,-0.9396429061889648,-0.7888965606689453,-0.7272858023643494,-0.7113780379295349,-0.8519459962844849,-0.9957395792007446,-0.9821003079414368,-0.931543469429016,-0.9156410098075868,-0.8259543180465698,-0.8090032339096069,-0.7487866878509521,-0.8355246782302856,-0.6671767234802246,-0.8229049444198608,-0.8070681691169739,-0.8144172430038452,-0.9819974899291992,-0.8040599822998047,,,,,,,,,,,,,,,,,,,,,-0.9906460046768188,-0.953952431678772,-0.9729622602462769,,,,,,,,,,,,,,-0.9933719635009766,-0.9968267679214478,-0.5975728034973145,-0.7333720922470093,-0.7888965606689453,-0.7272858023643494,-0.7113780379295349,-0.8519459962844849,-0.9957395792007446,-0.9821003079414368,-0.931543469429016,-0.8090032339096069,-0.7487866878509521,-0.8355246782302856,-0.6671767234802246,-0.8229049444198608,-0.8070681691169739,-0.8144172430038452,-0.9819974899291992,-0.8040599822998047
chexpert_consolidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9816144704818726,-0.3569387197494507,-0.995363473892212,-0.6321429014205933,-0.9878556132316588,,,,,,,,,,,,,,-0.9952595829963684,-0.7222222685813904,-0.9932254552841188,-0.6249517798423767,-0.7761662602424622,-0.958778977394104,-0.9423214197158812,-0.7606207132339478,-0.8243129849433899,-0.8345536589622498,-0.8465218544006348,-0.995694637298584,-0.9857521057128906,-0.9270764589309692,-0.889392077922821,-0.7854458093643188,-0.7697893381118774,-0.7410093545913696,-0.832037091255188,-0.6666832566261292,-0.8314402103424072,-0.7673987150192261,-0.8032040596008301,-0.9925641417503356,-0.8989396095275879,,,,,,,,,,,,,,,,,,,,,-0.9816144704818726,-0.995363473892212,-0.9878556132316588,,,,,,,,,,,,,,-0.9952595829963684,-0.9932254552841188,-0.6249517798423767,-0.7761662602424622,-0.7606207132339478,-0.8243129849433899,-0.8345536589622498,-0.8465218544006348,-0.995694637298584,-0.9857521057128906,-0.9270764589309692,-0.7697893381118774,-0.7410093545913696,-0.832037091255188,-0.6666832566261292,-0.8314402103424072,-0.7673987150192261,-0.8032040596008301,-0.9925641417503356,-0.8989396095275879
chexpert_edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.985929787158966,-0.8712502717971802,-0.9762539863586426,-0.7428571581840515,-0.9911311864852904,,,,,,,,,,,,,,-0.9974427223205566,-0.564670205116272,-0.9947558641433716,-0.7110821008682251,-0.7310447692871094,-0.9380570650100708,-0.9387499690055848,-0.7511034607887268,-0.8001707196235657,-0.8133739829063416,-0.8238381147384644,-0.9985297918319702,-0.988512933254242,-0.9443899393081664,-0.9098564982414246,-0.8719264268875122,-0.8249108195304871,-0.7626980543136597,-0.8558642268180847,-0.703056812286377,-0.8417503237724304,-0.766133725643158,-0.8361738324165344,-0.9942916631698608,-0.8520318865776062,,,,,,,,,,,,,,,,,,,,,-0.985929787158966,-0.9762539863586426,-0.9911311864852904,,,,,,,,,,,,,,-0.9974427223205566,-0.9947558641433716,-0.7110821008682251,-0.7310447692871094,-0.7511034607887268,-0.8001707196235657,-0.8133739829063416,-0.8238381147384644,-0.9985297918319702,-0.988512933254242,-0.9443899393081664,-0.8249108195304871,-0.7626980543136597,-0.8558642268180847,-0.703056812286377,-0.8417503237724304,-0.766133725643158,-0.8361738324165344,-0.9942916631698608,-0.8520318865776062
chexpert_enlarged_cardiomediastinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9832532405853271,-0.8501167297363281,-0.9704298973083496,-0.6285713911056519,-0.9775720834732056,,,,,,,,,,,,,,-0.9953382015228271,-0.7730034589767456,-0.9915237426757812,-0.6484310626983643,-0.8879287838935852,-0.9347147941589355,-0.9235714077949524,-0.7722069025039673,-0.7839890718460083,-0.7548763155937195,-0.8222548365592957,-0.9940977096557616,-0.9877334833145142,-0.945951282978058,-0.9730480909347534,-0.835472822189331,-0.8332208395004272,-0.7819430828094482,-0.8566358089447021,-0.6937270760536194,-0.88587886095047,-0.8088403940200806,-0.8349215984344482,-0.990839958190918,-0.8886029124259949,,,,,,,,,,,,,,,,,,,,,-0.9832532405853271,-0.9704298973083496,-0.9775720834732056,,,,,,,,,,,,,,-0.9953382015228271,-0.9915237426757812,-0.6484310626983643,-0.8879287838935852,-0.7722069025039673,-0.7839890718460083,-0.7548763155937195,-0.8222548365592957,-0.9940977096557616,-0.9877334833145142,-0.945951282978058,-0.8332208395004272,-0.7819430828094482,-0.8566358089447021,-0.6937270760536194,-0.88587886095047,-0.8088403940200806,-0.8349215984344482,-0.990839958190918,-0.8886029124259949
chexpert_fracture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9882146120071412,-0.7478806376457214,-0.6158019304275513,-0.889285683631897,-0.985432505607605,,,,,,,,,,,,,,-0.9925639629364014,-0.5690104365348816,-0.9931077361106871,-0.6570559740066528,-0.7019017338752747,-0.9235739707946776,-0.9571428298950196,-0.7650344371795654,-0.7971017956733704,-0.6774929165840149,-0.8281521797180176,-0.9969406723976136,-0.9893775582313538,-0.9359279870986938,-0.9407117366790771,-0.7702092528343201,-0.8311922550201416,-0.7703189849853516,-0.8762962818145752,-0.7194316387176514,-0.8571106195449829,-0.7936544418334961,-0.8259067535400391,-0.9883642196655272,-0.8664714694023132,,,,,,,,,,,,,,,,,,,,,-0.9882146120071412,-0.6158019304275513,-0.985432505607605,,,,,,,,,,,,,,-0.9925639629364014,-0.9931077361106871,-0.6570559740066528,-0.7019017338752747,-0.7650344371795654,-0.7971017956733704,-0.6774929165840149,-0.8281521797180176,-0.9969406723976136,-0.9893775582313538,-0.9359279870986938,-0.8311922550201416,-0.7703189849853516,-0.8762962818145752,-0.7194316387176514,-0.8571106195449829,-0.7936544418334961,-0.8259067535400391,-0.9883642196655272,-0.8664714694023132
chexpert_lung_lesion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9818217754364014,-0.9152709245681764,-0.9719456434249878,-0.8107142448425293,-0.9815270900726318,,,,,,,,,,,,,,-0.9913818836212158,-0.7569444179534912,-0.9938140511512756,-0.7024266719818115,-0.8730875253677368,-0.923796772956848,-0.94178569316864,-0.7634482383728027,-0.8119356036186218,-0.7963265776634216,-0.8323814868927002,-0.9969738125801086,-0.9843346476554872,-0.9155625700950624,-0.935498595237732,-0.8592532873153687,-0.836066722869873,-0.7840951681137085,-0.8623456954956055,-0.6911396384239197,-0.8671786785125732,-0.5120962858200073,-0.832842230796814,-0.997184157371521,-0.866036057472229,,,,,,,,,,,,,,,,,,,,,-0.9818217754364014,-0.9719456434249878,-0.9815270900726318,,,,,,,,,,,,,,-0.9913818836212158,-0.9938140511512756,-0.7024266719818115,-0.8730875253677368,-0.7634482383728027,-0.8119356036186218,-0.7963265776634216,-0.8323814868927002,-0.9969738125801086,-0.9843346476554872,-0.9155625700950624,-0.836066722869873,-0.7840951681137085,-0.8623456954956055,-0.6911396384239197,-0.8671786785125732,-0.5120962858200073,-0.832842230796814,-0.997184157371521,-0.866036057472229
